Sector,Metric,Ranked Avg metric,Unranked Avg metric,Ranked Median metric,Unranked Median metric,Ranked Count,Unranked Count,T-Statistic,T-Test P-Value,MWU P-Value,T-Test Significant,MWU Significant
Communication Services,Gross Margin per,65.91142857142857,52.50599999999999,68.13499999999999,54.95,28,175,5.197711568145412,3.485086015062898e-06,0.0002747114590362199,True,True
Communication Services,DilutedEPS,1.7051785714285714,3.3520342857142857,0.38949999999999996,2.06,28,175,-2.771277648282249,0.006888718166792602,0.04788337447441603,True,True
Communication Services,TotalRevenue,29651623235.82143,49219968921.60571,10958334337.5,28616131675.0,28,175,-1.441514441813735,0.1590655179078974,0.00011591738820578518,False,True
Communication Services,GrossProfit,17865833919.685715,27168850163.462856,7576179914.5,13830464092.0,28,175,-1.2123948999634906,0.23383382020876914,0.0023359323460344196,False,True
Communication Services,OperatingIncome,7081783577.224999,8942051807.783428,1459092210.5,4317823591.0,28,175,-0.4796703662663474,0.6347803874739957,0.00025856286317260717,False,True
Communication Services,NetIncome,5743024057.084642,6471817921.748571,892725440.3,2615548275.0,28,175,-0.20952076078261486,0.8354002869700649,0.00028794831734229275,False,True
Consumer Discretionary,TotalRevenue,17571524416.666668,64690010929.27345,8821002575.5,23367497132.0,48,226,-6.33720661897866,9.707597585703656e-10,4.521176572600604e-06,True,True
Consumer Discretionary,OperatingIncome,1402267236.216875,5848182022.259734,725704445.0,2182279319.5,48,226,-5.7770550265614355,2.860927622646002e-08,3.010610282985557e-06,True,True
Consumer Discretionary,GrossProfit,5638656806.766458,19200572450.42345,3360039018.0,9384000000.0,48,226,-5.3174052051272005,2.2185685031320786e-07,1.389301963454593e-06,True,True
Consumer Discretionary,NetIncome,1125448535.7779167,4685767475.8579645,482372878.15,1433601862.5,48,226,-4.849530552527447,2.7398116050983935e-06,3.433671826721133e-05,True,True
Consumer Discretionary,fullTimeEmployees,88674.5,186976.7679245283,44627.0,67195.0,98,530,-4.634009644523385,6.2305573531461774e-06,0.0006185466894817425,True,True
Consumer Discretionary,DilutedEPS,4.173104166666667,6.61003982300885,1.072,2.8935,48,226,-1.512806485490731,0.1326428610568713,0.020151431369058,False,True
Consumer Staples,fullTimeEmployees,46850.28571428572,125193.83924843423,30092.0,36000.0,70,479,-5.059892460986968,5.789314406059139e-07,0.0017326172965375245,True,True
Consumer Staples,Operating Margin per,10.018928571428573,17.317560975609755,10.524999999999999,16.19,28,205,-5.278223023669227,1.1846173504026645e-06,0.0017244084794569919,True,True
Consumer Staples,DilutedEPS,1.9995357142857144,3.7573609756097563,2.245,2.77,28,205,-4.761325326085484,7.914406260459028e-06,0.015409564375201489,True,True
Consumer Staples,TotalRevenue,18713316475.739285,49107062886.585365,13266023491.0,20094200000.0,28,205,-3.994139196549188,9.399904073819634e-05,0.0009519405830937313,True,True
Consumer Staples,GrossProfit,7305859152.760714,16946105088.605854,2756904439.5,10248000000.0,28,205,-3.9477719269378015,0.00015997516631871008,0.0002581133230214854,True,True
Consumer Staples,Net Margin per,7.006428571428572,11.02790243902439,6.890000000000001,9.67,28,205,-3.8388414116311163,0.00023173692290927937,0.03319689616885713,True,True
Consumer Staples,NetIncome,1704416025.7949646,3751993392.3422685,681300000.0,2164000000.0,28,205,-3.6618395924724814,0.000579669281935049,0.0006449706029211569,True,True
Consumer Staples,OperatingIncome,2544102571.3556433,5596955395.211951,922487091.8,3255200000.0,28,205,-3.6103519516377527,0.0007481855132519438,2.990857319042645e-05,True,True
Energy,TotalRevenue,24271708452.5,80439470622.89032,25050029345.0,30057174561.0,4,155,-6.141428658672469,9.0319720932453e-09,0.6401847736842654,True,False
Energy,GrossProfit,3008913239.5,25443623984.366726,3322024230.5,10175000000.0,4,155,-5.631607617118383,8.040754144259691e-08,0.008997020566675092,True,True
Energy,OperatingIncome,1725416947.10825,17422886103.524567,2089706777.5,5593000000.0,4,155,-4.89237875323284,2.4744814001526955e-06,0.010223613790402816,True,True
Energy,NetIncome,1436745290.025,9841083004.401806,1842438226.5,3068036957.0,4,155,-4.814521563989447,4.246710844648904e-06,0.04961696489431397,True,True
Energy,Gross Margin per,12.7375,36.76283870967742,13.120000000000001,33.43,4,155,-7.949676685034546,0.00022570273370393546,0.00740245489600382,True,True
Energy,DilutedEPS,2.17375,4.473116129032259,2.3979999999999997,2.689,4,155,-3.745165789962348,0.0016278528711023792,0.5271122048188981,True,False
Energy,Operating Margin per,7.3774999999999995,23.922838709677418,8.2,21.17,4,155,-5.504858843172059,0.004424890846707761,0.011964320075238484,True,True
Energy,fullTimeEmployees,14097.947368421053,23641.35457063712,5408.0,13200.0,19,361,-2.7191033312201953,0.01143146386617017,0.5418451230301814,True,False
Energy,Net Margin per,6.205,14.010129032258062,6.795,11.43,4,155,-2.9532526579383656,0.04660661180036761,0.08926194105193869,True,False
