Sector,Metric,Ranked Avg metric,Unranked Avg metric,Ranked Median metric,Unranked Median metric,Ranked Count,Unranked Count,T-Statistic,T-Test P-Value,MWU P-Value,Normalized By Revenue,T-Test Significant,MWU Significant
Consumer Discretionary,Stock_Performance per,17.241818181818182,15.451906412478337,3.235,7.86,110,577,0.21398672633304083,0.8309109071407375,0.18498548916070823,False,False,False
Industrials,Stock_Performance per,12.034146341463414,15.162494758909853,8.87,12.24,82,477,-0.6492377245667622,0.5176385989833485,0.26197604256734164,False,False,False
Communication Services,Stock_Performance per,6.63671875,10.69438202247191,4.325,5.13,64,445,-1.1951424457103261,0.23512377068374823,0.35764446723600885,False,False,False
Utilities,Stock_Performance per,8.956491228070176,8.490840909090908,4.87,8.335,57,440,0.11740147585836147,0.9069047606170371,0.7026201116024553,False,False,False
Health Care,Stock_Performance per,9.75943925233645,11.12500860585198,9.82,8.57,107,581,-0.4791242384276988,0.6324323632105184,0.72465098697045,False,False,False
Consumer Staples,Stock_Performance per,7.451904761904761,9.648633663366336,7.755,7.71,84,505,-0.8219392999651672,0.4127064999223635,0.8723724214599933,False,False,False
Information Technology,Stock_Performance per,9.932469135802469,27.469045936395762,9.085,16.549999999999997,162,566,-4.581728259180128,6.0884264922783435e-06,0.0023120763192004067,False,True,True
Materials,Stock_Performance per,3.7206000000000006,15.274545454545454,8.55,10.74,50,429,-2.406047307978974,0.018294614273856556,0.23395090340935365,False,True,False
Financials,Stock_Performance per,11.639367088607596,10.87061971830986,9.235,10.07,158,710,0.32895260873771925,0.7425133384326355,0.8579893321659615,False,False,False
Energy,Stock_Performance per,10.854285714285712,10.337619047619047,0.78,6.75,21,378,0.06823865909944954,0.9461996880000432,0.8049907615012779,False,False,False
Real Estate,Stock_Performance per,15.008750000000001,7.514882352941176,11.21,6.13,40,340,1.2791467439528112,0.20758766869237294,0.37413414918839005,False,False,False
Consumer Discretionary,fullTimeEmployees,88674.5,186976.7679245283,44627.0,67195.0,98,530,-4.634009644523385,6.2305573531461774e-06,0.0006185466894817425,False,True,True
Industrials,fullTimeEmployees,79902.40789473684,62999.33860045147,40463.5,48000.0,76,443,1.6106094722302016,0.11080591234550649,0.49314229358021355,False,False,False
Communication Services,fullTimeEmployees,125791.32142857143,94779.29055690073,58421.5,51500.0,56,413,1.0446681256419421,0.30037867391794953,0.31934463446188566,False,False,False
Utilities,fullTimeEmployees,34100.264150943396,22549.44811320755,8251.0,12000.0,53,424,1.5635508213364697,0.12327487833029693,0.8009292928141231,False,False,False
Health Care,fullTimeEmployees,51322.213483146064,64380.44901610018,53000.0,47922.0,89,559,-2.788590191828905,0.005779779312548007,0.6237419770572972,False,True,False
Consumer Staples,fullTimeEmployees,46850.28571428572,125193.83924843423,30092.0,36000.0,70,479,-5.059892460986968,5.789314406059139e-07,0.0017326172965375245,False,True,True
Information Technology,fullTimeEmployees,51433.44736842105,87422.22064777328,34815.5,36000.0,114,494,-4.587672129055323,5.554532046813642e-06,0.3073059836438906,False,True,False
Materials,fullTimeEmployees,16371.918918918918,33813.23498694517,10582.0,22200.0,37,383,-5.723899057459423,3.0104094244322315e-07,2.944924780460581e-05,False,True,True
Financials,fullTimeEmployees,59465.96031746032,91742.40483383686,39976.0,50316.0,126,662,-5.2702017967839705,2.6886275384281125e-07,0.0014471035445055647,False,True,True
Energy,fullTimeEmployees,14097.947368421053,23641.35457063712,5408.0,13200.0,19,361,-2.7191033312201953,0.01143146386617017,0.5418451230301814,False,True,False
Real Estate,fullTimeEmployees,7533.6,5603.716129032258,4314.0,2500.0,30,310,0.9273745845592131,0.3600598888358202,0.00039840029105359836,False,False,True
Consumer Discretionary,TotalRevenueIncr per,27.57657142857143,17.626198830409358,12.47,9.17,35,171,0.909091411653258,0.3678582322494057,0.29497282882682085,False,False,False
Industrials,TotalRevenueIncr per,12.770624999999999,5.408222222222221,11.485,5.14,32,135,2.936254768109672,0.005205774596571623,0.0023693533337535524,False,True,True
Communication Services,TotalRevenueIncr per,3.761904761904762,5.194351145038168,2.06,3.09,21,131,-1.0349762507181106,0.3070887872111097,0.4547393223607822,False,False,False
Utilities,TotalRevenueIncr per,7.154444444444445,6.103255813953488,6.28,4.68,18,129,0.22074029238747908,0.8275149120302076,0.6921656198588856,False,False,False
Health Care,TotalRevenueIncr per,38.47875,6.07021978021978,7.865,6.4399999999999995,24,182,1.108452090133341,0.27909370737676426,0.3244006549252243,False,False,False
Consumer Staples,TotalRevenueIncr per,4.513809523809523,4.626339869281046,1.16,4.78,21,153,-0.05271742138123574,0.9583827270375659,0.4839909539945991,False,False,False
Information Technology,TotalRevenueIncr per,4.8692982456140355,12.422578616352201,5.72,9.18,57,159,-2.0550908163544133,0.04233944629448638,0.10225386427287762,False,True,False
Materials,TotalRevenueIncr per,1.5188888888888894,3.2543199999999994,-1.81,0.2,18,125,-0.24242428155989346,0.8109131890913975,0.6134684788387801,False,False,False
Financials,TotalRevenueIncr per,32.87545454545455,0.31251162790697684,7.465,5.41,44,215,1.1614651178431237,0.2517542098544847,0.24039973289864125,False,False,False
Energy,TotalRevenueIncr per,16.299999999999997,12.524396551724138,-10.0,0.9850000000000001,3,116,0.14027441433412677,0.9009431941646787,0.9797136015480005,False,False,False
Real Estate,TotalRevenueIncr per,10.435000000000002,10.531415094339621,13.82,6.845000000000001,8,106,-0.00943775569182531,0.9927202723697803,0.920473404576986,False,False,False
Consumer Discretionary,NetIncomeIncr per,-15.159142857142855,-7.410292397660819,-2.32,9.01,35,171,-0.21188002009207105,0.832471319860784,0.27808896225212476,False,False,False
Industrials,NetIncomeIncr per,-26.667500000000004,15.530296296296298,11.83,10.57,32,135,-0.9190023015369617,0.36483423252110636,0.6429664420447587,False,False,False
Communication Services,NetIncomeIncr per,15.303809523809527,43.11770992366412,0.29,4.38,21,131,-0.7451033266422605,0.4578344749284846,0.7874329735011205,False,False,False
Utilities,NetIncomeIncr per,-71.69555555555556,-67.22054263565892,-30.035,5.47,18,129,-0.08115963759080187,0.935504060917228,0.15441024235229936,False,False,False
Health Care,NetIncomeIncr per,118.46916666666668,55.49060439560441,8.11,-0.7450000000000001,24,182,0.5032069331966131,0.6186723683158275,0.32350811280917136,False,False,False
Consumer Staples,NetIncomeIncr per,3.3633333333333346,-123.79980392156864,3.53,-0.67,21,153,1.7763407433540657,0.07754851810712794,0.783410500803234,False,False,False
Information Technology,NetIncomeIncr per,-132.3059649122807,-37.898427672955975,-2.81,4.18,57,159,-0.8868423830851445,0.3781936207064912,0.29664710386882664,False,False,False
Materials,NetIncomeIncr per,-58.79888888888888,13.632880000000004,-29.895000000000003,-7.93,18,125,-0.7715732340482341,0.44981547010312706,0.21666907471324437,False,False,False
Financials,NetIncomeIncr per,15.583409090909095,-0.7326976744186053,7.39,3.03,44,215,1.2505417134070953,0.21563517821288447,0.06401177630487713,False,False,False
Energy,NetIncomeIncr per,-41.373333333333335,33.12663793103449,-24.1,-12.11,3,116,-1.823867565827999,0.138096046280767,0.3511493639850225,False,False,False
Real Estate,NetIncomeIncr per,130.0925,15.422075471698113,-26.71,-2.88,8,106,0.6153156725600781,0.5575760596101482,0.45734179592115876,False,False,False
Consumer Discretionary,OperatingIncomeIncr per,0.7165714285714269,29.95461988304094,-1.29,10.62,35,171,-1.6943030853321148,0.09388693086244333,0.0633876483715297,False,False,False
Industrials,OperatingIncomeIncr per,-153.60656250000002,-2.680666666666666,19.42,10.22,32,135,-0.6832868217158695,0.49941573060223554,0.9384173446124562,False,False,False
Communication Services,OperatingIncomeIncr per,6.461428571428572,-0.24015267175572458,3.63,6.9,21,131,0.7062857622156772,0.4811169183157562,0.8706322118828621,False,False,False
Utilities,OperatingIncomeIncr per,21.20444444444444,-8.829844961240312,0.45,6.81,18,129,1.0346664093584692,0.31287571623853816,0.4856224614318134,False,False,False
Health Care,OperatingIncomeIncr per,-134.84333333333333,-44.06153846153847,6.210000000000001,4.24,24,182,-0.6308841765679994,0.5336742468426732,0.643600170890402,False,False,False
Consumer Staples,OperatingIncomeIncr per,-0.8428571428571416,7.04686274509804,4.45,5.45,21,153,-0.6320706254826695,0.533623404878796,0.6490734351366138,False,False,False
Information Technology,OperatingIncomeIncr per,-27.1019298245614,13.743584905660377,3.58,8.11,57,159,-0.8501167817471779,0.3974503228622176,0.1985385214889639,False,False,False
Materials,OperatingIncomeIncr per,28.156111111111098,34.40608,-12.185,-3.96,18,125,-0.08695916787002231,0.9314970850702669,0.4614919459125366,False,False,False
Financials,OperatingIncomeIncr per,16.95818181818182,-0.44051162790697745,9.18,2.7,44,215,1.3363879267394847,0.18611954961219254,0.027729551594344717,False,False,True
Energy,OperatingIncomeIncr per,-37.12666666666667,51.56396551724138,-30.48,-1.6749999999999998,3,116,-2.084231185084091,0.09710205080521497,0.2353685375029798,False,False,False
Real Estate,OperatingIncomeIncr per,34.871249999999996,7.906698113207547,1.63,8.765,8,106,0.7482147531210683,0.47711363931612283,0.6098566798582914,False,False,False
Consumer Discretionary,GrossProfitIncr per,48.264571428571436,21.26187134502924,4.5,8.6,35,171,0.7350451913372507,0.4666300029557996,0.06818389933016512,False,False,False
Industrials,GrossProfitIncr per,53.9634375,5.317407407407407,13.489999999999998,7.05,32,135,1.5670290883059372,0.1271662693058039,0.004802840877651491,False,False,True
Communication Services,GrossProfitIncr per,3.6861904761904767,7.030229007633588,1.76,4.67,21,131,-1.7003608708514026,0.09189158809536076,0.1398416305636671,False,False,False
Utilities,GrossProfitIncr per,7.813333333333333,12.763333333333332,4.300000000000001,7.02,18,129,-0.6678664474919807,0.5061856260056449,0.42330471757270627,False,False,False
Health Care,GrossProfitIncr per,20.725833333333334,6.390109890109891,7.45,5.045,24,182,1.3735754693033662,0.18207471990948143,0.05914459840349407,False,False,False
Consumer Staples,GrossProfitIncr per,5.622857142857143,5.288758169934641,5.67,5.92,21,153,0.13247214853449285,0.8955911973654748,0.8861211415792778,False,False,False
Information Technology,GrossProfitIncr per,20.142631578947366,11.694025157232703,5.92,9.27,57,159,0.2552274186928682,0.7994505057718021,0.06590787011498261,False,False,False
Materials,GrossProfitIncr per,-3.19388888888889,2.0821599999999996,-0.38,2.29,18,125,-0.5830007206530672,0.5652101601527388,0.8076678564348975,False,False,False
Financials,GrossProfitIncr per,16.927727272727278,-0.6609767441860468,9.02,2.7,44,215,1.3522825791745259,0.18101079158195016,0.025687030235484264,False,False,True
Energy,GrossProfitIncr per,-16.333333333333332,8.892413793103447,-13.36,1.3,3,116,-0.9347216540403689,0.40403564802293457,0.3011013554736519,False,False,False
Real Estate,GrossProfitIncr per,12.19125,40.35603773584906,12.055,6.279999999999999,8,106,-0.8562051715879236,0.393725120446491,0.73929125744743,False,False,False
Consumer Discretionary,DilutedEPSIncr per,-51.064571428571426,-2.9839181286549747,-4.24,8.98,35,171,-0.8608942859606911,0.3934252024691268,0.19704005201430008,False,False,False
Industrials,DilutedEPSIncr per,-25.372500000000002,10.597407407407408,12.835,12.66,32,135,-0.7817765905807302,0.4400204980510867,0.8996887915818602,False,False,False
Communication Services,DilutedEPSIncr per,6.100476190476195,51.884122137404574,0.43,4.37,21,131,-1.3471763664307728,0.1799570479459116,0.985089746194074,False,False,False
Utilities,DilutedEPSIncr per,-51.462777777777774,-74.56395348837209,-5.8100000000000005,4.93,18,129,0.37037425130910234,0.7117806180881214,0.5866837903906164,False,False,False
Health Care,DilutedEPSIncr per,105.49583333333332,55.99000000000001,7.8500000000000005,1.7349999999999999,24,182,0.435884774163177,0.666027914582781,0.44968628223046336,False,False,False
Consumer Staples,DilutedEPSIncr per,4.834285714285714,-160.19909190451614,4.56,0.0,21,155,1.8802453834263255,0.06187761241420865,0.5933593363791219,False,False,False
Information Technology,DilutedEPSIncr per,-135.3759649122807,-35.847898722625,0.33,6.744999999999999,57,160,-0.9317305060642889,0.354672665033682,0.3878277645364959,False,False,False
Materials,DilutedEPSIncr per,26.345000000000006,38.83087999999999,-29.17,-0.89,18,125,-0.2108265343828851,0.834970988870059,0.18866062160482566,False,False,False
Financials,DilutedEPSIncr per,35.82727272727272,10.528093023255812,9.915,5.58,44,215,1.5658689473204288,0.12187723795918151,0.11579252593793521,False,False,False
Energy,DilutedEPSIncr per,43.43000000000001,34.901896551724136,6.96,-11.52,3,116,0.14728639677183558,0.8925104090152312,0.5305114357606746,False,False,False
Real Estate,DilutedEPSIncr per,90.585,1.819716981132076,-48.96,-10.815,8,106,0.3966143402800003,0.7033617226013787,0.1795130552482621,False,False,False
Consumer Discretionary,TotalRevenue,17571524416.666668,64690010929.27345,8821002575.5,23367497132.0,48,226,-6.33720661897866,9.707597585703656e-10,4.521176572600604e-06,False,True,True
