Sector,Metric,Ranked Avg metric,Unranked Avg metric,Ranked Median metric,Unranked Median metric,Ranked Count,Unranked Count,T-Statistic,MWU P-Value,T-Test Significant,MWU Significant,T-Test P-Value,FDR_qvalue_BH,FDR_significant_0p05,MWU_FDR_qvalue_BH,MWU_FDR_significant_0p05
Consumer Discretionary,Stock_Performance per,17.24181818,15.45190641,3.235,7.86,110,577,0.213986726,0.184985489,False,False,0.830910907,0.868575316125,False,0.2579375128309859,False
Industrials,Stock_Performance per,12.03414634,15.16249476,8.87,12.24,82,477,-0.649237725,0.261976043,False,False,0.517638599,0.6326693987777777,False,0.35031849204000004,False
Communication Services,Stock_Performance per,6.63671875,10.69438202,4.325,5.13,64,445,-1.195142446,0.357644467,False,False,0.235123771,0.337410612,False,0.4481873700379747,False
Utilities,Stock_Performance per,8.956491228,8.490840909,4.87,8.335,57,440,0.117401476,0.702620112,False,False,0.906904761,0.9161588912142856,False,0.781566192,False
Health Care,Stock_Performance per,9.759439252,11.12500861,9.82,8.57,107,581,-0.479124238,0.724650987,False,False,0.632432363,0.7223363024482758,False,0.7921193232857142,False
Consumer Staples,Stock_Performance per,7.451904762,9.648633663,7.755,7.71,84,505,-0.8219393,0.872372421,False,False,0.4127065,0.5376045197368421,False,0.8903594812268042,False
Information Technology,Stock_Performance per,9.932469136,27.46904594,9.085,16.55,162,566,-4.581728259,0.002312076,True,True,6.09e-06,3.01455e-05,True,0.0064238130000000004,True
Materials,Stock_Performance per,3.7206,15.27454545,8.55,10.74,50,429,-2.406047308,0.233950903,True,False,0.018294614,0.039373191,True,0.3172758821506849,False
Financials,Stock_Performance per,11.63936709,10.87061972,9.235,10.07,158,710,0.328952609,0.857989332,False,False,0.742513338,0.8259418029438201,False,0.884801498625,False
Energy,Stock_Performance per,10.85428571,10.33761905,0.78,6.75,21,378,0.068238659,0.804990762,False,False,0.946199688,0.946199688,False,0.8478094195531914,False
Real Estate,Stock_Performance per,15.00875,7.514882353,11.21,6.13,40,340,1.279146744,0.374134149,False,False,0.207587669,0.31617198816923076,False,0.457275071,False
Consumer Discretionary,TotalRevenue,17571524417.0,64690010929.0,8821002576.0,23367497132.0,48,226,-6.337206619,4.52e-06,True,True,9.71e-10,7.92e-08,True,7.458e-05,True
Industrials,TotalRevenue,12490202943.0,23816015029.0,7896531527.0,15898000000.0,40,183,-4.561446822,0.00355763,True,True,1.26e-05,5.423478260869565e-05,True,0.008860299525,True
Communication Services,TotalRevenue,29651623236.0,49219968922.0,10958334338.0,28616131675.0,28,175,-1.441514442,0.000115917,False,True,0.159065518,0.2539917142258064,False,0.0007172364374999999,True
Utilities,TotalRevenue,9535006277.0,22872842911.0,3141601699.0,12013532500.0,23,174,-3.260862321,0.000306922,True,True,0.001840272,0.0049239710270270265,True,0.00126605325,True
Health Care,TotalRevenue,22785038086.0,55474919370.0,19730880283.0,27282547480.0,31,244,-5.068642364,0.003579919,True,True,1.21e-06,9.9825e-06,True,0.008860299525,True
Consumer Staples,TotalRevenue,18713316476.0,49107062887.0,13266023491.0,20094200000.0,28,205,-3.994139197,0.000951941,True,True,9.4e-05,0.00035792307692307686,True,0.0031414053,True
Information Technology,TotalRevenue,37039616697.0,39170020010.0,7524435353.0,19093000000.0,76,213,-0.19979877,0.009752771,False,True,0.842014935,0.868575316125,False,0.020989659326086957,True
Materials,TotalRevenue,7945111214.0,27709419446.0,4523758894.0,15741400000.0,24,167,-6.184736795,9.85e-07,True,True,4.09e-09,1.0122749999999998e-07,True,4.587e-05,True
Financials,TotalRevenue,21703527730.0,40682935096.0,13584819183.0,30131345554.0,59,287,-4.81223803,2.28e-05,True,True,4.6e-06,2.53e-05,True,0.00022572,True
Energy,TotalRevenue,24271708453.0,80439470623.0,25050029345.0,30057174561.0,4,155,-6.141428659,0.640184774,True,False,9.03e-09,1.78794e-07,True,0.72020787075,False
Real Estate,TotalRevenue,4336588176.0,6011732008.0,3191555963.0,2659695500.0,12,140,-1.085369542,0.325161027,False,False,0.280652124,0.3969222896571429,False,0.41806417757142855,False
Consumer Discretionary,NetIncome,1125448536.0,4685767476.0,482372878.2,1433601863.0,48,226,-4.849530553,3.43e-05,True,True,2.74e-06,1.8083999999999998e-05,True,0.00026882307692307686,True
Industrials,NetIncome,779845040.7,2128133418.0,377542150.5,1155000000.0,40,183,-4.315593048,6.62e-06,True,True,3.11e-05,0.00012315599999999997,True,8.19225e-05,True
Communication Services,NetIncome,5743024057.0,6471817922.0,892725440.3,2615548275.0,28,175,-0.209520761,0.000287948,False,True,0.835400287,0.868575316125,False,0.001239428347826087,True
Utilities,NetIncome,705355379.0,1862996335.0,283365630.7,1059092000.0,23,174,-2.895108488,0.001072345,True,True,0.005853967,0.014488568325,True,0.00342458564516129,True
Health Care,NetIncome,3970184633.0,4691685782.0,743954689.8,2439474345.0,31,244,-0.578801366,0.094235325,False,False,0.56615042,0.6752878503614459,False,0.14352764884615385,False
Consumer Staples,NetIncome,1704416026.0,3751993392.0,681300000.0,2164000000.0,28,205,-3.661839592,0.000644971,True,True,0.000579669,0.00179335096875,True,0.0022017975517241383,True
Information Technology,NetIncome,7040976081.0,9141142186.0,842488556.4,2442000000.0,76,213,-0.739692989,0.000320529,False,True,0.460867842,0.5775432450379747,False,0.00126929484,True
Materials,NetIncome,352410007.7,2639505951.0,369023704.1,1504000000.0,24,167,-6.539151155,2.39e-06,True,True,2.67e-09,8.811e-08,True,5.915249999999999e-05,True
Financials,NetIncome,4605927823.0,8804414643.0,3571760056.0,5674000000.0,59,287,-4.691890564,0.000249518,True,True,5.27e-06,2.745947368421053e-05,True,0.0012361995,True
Energy,NetIncome,1436745290.0,9841083004.0,1842438227.0,3068036957.0,4,155,-4.814521564,0.049616965,True,True,4.25e-06,2.4750000000000002e-05,True,0.08186799225,False
Real Estate,NetIncome,1383430544.0,717418322.0,1000499872.0,447286000.0,12,140,1.733000215,0.071257914,False,False,0.105695219,0.1804108048448276,False,0.11197672200000001,False
Consumer Discretionary,OperatingIncome,1402267236.0,5848182022.0,725704445.0,2182279320.0,48,226,-5.777055027,3.01e-06,True,True,2.86e-08,4.719e-07,True,5.9598e-05,True
Industrials,OperatingIncome,1272757936.0,2765200038.0,627769500.0,1506383014.0,40,183,-3.647768396,6.41e-05,True,True,0.00041788,0.0013345199999999998,True,0.00045327857142857145,True
Communication Services,OperatingIncome,7081783577.0,8942051808.0,1459092211.0,4317823591.0,28,175,-0.479670366,0.000258563,False,True,0.634780387,0.7223363024482758,False,0.0012361995,True
Utilities,OperatingIncome,1699811226.0,2785716467.0,800580097.8,1864138618.0,23,174,-1.698398138,0.002578416,False,True,0.095957516,0.16963918007142859,False,0.006899004972972972,True
Health Care,OperatingIncome,5366400959.0,6553851794.0,1065435628.0,3754034544.0,31,244,-0.769425643,0.035920342,False,True,0.446638366,0.5742493277142857,False,0.06238796242105263,False
Consumer Staples,OperatingIncome,2544102571.0,5596955395.0,922487091.8,3255200000.0,28,205,-3.610351952,2.99e-05,True,True,0.000748186,0.0022445580000000002,True,0.00026882307692307686,True
Information Technology,OperatingIncome,8708660218.0,11191288429.0,1128265285.0,3325000000.0,76,213,-0.729926654,0.000267926,False,True,0.466818233,0.5776875633375,False,0.0012361995,True
Materials,OperatingIncome,938769266.8,4155533999.0,404788950.2,2184000000.0,24,167,-6.656730726,1.84e-07,True,True,1.6e-09,7.92e-08,True,1.8216e-05,True
Financials,OperatingIncome,5744283615.0,10900448446.0,4464700070.0,7092500000.0,59,287,-4.590324505,0.000448373,True,True,8.15e-06,3.6675000000000004e-05,True,0.001707266423076923,True
Energy,OperatingIncome,1725416947.0,17422886104.0,2089706778.0,5593000000.0,4,155,-4.892378753,0.010223614,True,True,2.47e-06,1.746642857142857e-05,True,0.0215348465106383,True
Real Estate,OperatingIncome,1191939258.0,773998813.8,550164852.8,649090767.1,12,140,0.978463716,0.98364605,False,False,0.337855464,0.47109423853521126,False,0.986028204,False
Consumer Discretionary,GrossProfit,5638656807.0,19200572450.0,3360039018.0,9384000000.0,48,226,-5.317405205,1.39e-06,True,True,2.22e-07,2.442e-06,True,4.587e-05,True
Industrials,GrossProfit,4073548315.0,6981457911.0,2345841469.0,5162000000.0,40,183,-3.146854556,0.001220019,True,True,0.00231446,0.006029777368421053,True,0.0037744337812499994,True
Communication Services,GrossProfit,17865833920.0,27168850163.0,7576179915.0,13830464092.0,28,175,-1.2123949,0.002335932,False,True,0.23383382,0.337410612,False,0.0064238130000000004,True
Utilities,GrossProfit,4253901688.0,7301905439.0,2227820450.0,4852433000.0,23,174,-2.151855778,0.00340744,True,True,0.038491503,0.0793887249375,False,0.008860299525,True
Health Care,GrossProfit,15501548362.0,20196839606.0,5470560221.0,14259284657.0,31,244,-1.469550458,0.070648788,False,False,0.149386064,0.24244623501639348,False,0.11197672200000001,False
Consumer Staples,GrossProfit,7305859153.0,16946105089.0,2756904440.0,10248000000.0,28,205,-3.947771927,0.000258113,True,True,0.000159975,0.0005717921785714286,True,0.0012361995,True
Information Technology,GrossProfit,16383402300.0,20075444711.0,4525006000.0,9828637380.0,76,213,-0.747919906,0.001657137,False,True,0.455908554,0.5775432450379747,False,0.004971411,True
Materials,GrossProfit,2652846964.0,7690239354.0,1489445798.0,4737000000.0,24,167,-5.765031303,5.44e-06,True,True,1.58e-07,1.95525e-06,True,7.693714285714285e-05,True
