Sector,Metric,Ranked Avg metric,Unranked Avg metric,Ranked Median metric,Unranked Median metric,Ranked Count,Unranked Count,T-Statistic,T-Test P-Value,MWU P-Value,Normalized By Revenue,T-Test Significant,MWU Significant
Communication Services,Gross Margin per,65.91142857142857,52.50599999999999,68.13499999999999,54.95,28,175,5.197711568145412,3.485086015062898e-06,0.0002747114590362199,False,True,True
Communication Services,OperatingIncome,2548848965.6792417,-407815834.50867695,2425767874.002792,899080164.2995911,28,175,3.698455091295225,0.0004882709327040036,0.002390306814354874,True,True,True
Communication Services,DilutedEPS,1.7051785714285714,3.3520342857142857,0.38949999999999996,2.06,28,175,-2.771277648282249,0.006888718166792602,0.04788337447441603,False,True,True
Communication Services,NetIncome,2670404230.617432,-427264676.8987879,2098007707.9501934,906989255.527916,28,175,2.677298604696543,0.010199665426481399,0.01291915389634392,True,True,True
Communication Services,GrossProfit,1816791731.6947532,-290686677.0711582,1791834085.9201093,267323056.763371,28,175,2.4346919140341905,0.015942537730372252,0.02743011939581276,True,True,True
Communication Services,TotalRevenue,29651623235.82143,49219968921.60571,10958334337.5,28616131675.0,28,175,-1.441514441813735,0.1590655179078974,0.00011591738820578518,False,False,True
Consumer Discretionary,TotalRevenue,17571524416.666668,64690010929.27345,8821002575.5,23367497132.0,48,226,-6.33720661897866,9.707597585703656e-10,4.521176572600604e-06,False,True,True
Consumer Discretionary,fullTimeEmployees,88674.5,186976.7679245283,44627.0,67195.0,98,530,-4.634009644523385,6.2305573531461774e-06,0.0006185466894817425,False,True,True
Consumer Discretionary,DilutedEPS,4.173104166666667,6.61003982300885,1.072,2.8935,48,226,-1.512806485490731,0.1326428610568713,0.020151431369058,False,False,True
Consumer Staples,fullTimeEmployees,46850.28571428572,125193.83924843423,30092.0,36000.0,70,479,-5.059892460986968,5.789314406059139e-07,0.0017326172965375245,False,True,True
Consumer Staples,Operating Margin per,10.018928571428573,17.317560975609755,10.524999999999999,16.19,28,205,-5.278223023669227,1.1846173504026645e-06,0.0017244084794569919,False,True,True
Consumer Staples,DilutedEPS,1.9995357142857144,3.7573609756097563,2.245,2.77,28,205,-4.761325326085484,7.914406260459028e-06,0.015409564375201489,False,True,True
Consumer Staples,TotalRevenue,18713316475.739285,49107062886.585365,13266023491.0,20094200000.0,28,205,-3.994139196549188,9.399904073819634e-05,0.0009519405830937313,False,True,True
Consumer Staples,Net Margin per,7.006428571428572,11.02790243902439,6.890000000000001,9.67,28,205,-3.8388414116311163,0.00023173692290927937,0.03319689616885713,False,True,True
Consumer Staples,NetIncome,-1082331530.7358453,147830648.1005055,-1862046686.4543211,-1225519697.0031075,28,205,-2.7685151470222107,0.007564956493053143,0.04441917682568833,True,True,True
Consumer Staples,OperatingIncome,-1558710370.7078805,212897026.24302596,-2744102700.3060036,-1399658173.2648501,28,205,-2.7008825065079645,0.009608272036976602,0.010285790484662778,True,True,True
Consumer Staples,GrossProfit,-2079927267.594399,284087626.79337907,-3961373282.0834765,-2036359032.9176636,28,205,-2.186064468351941,0.032189238682503125,0.020613305503162975,True,True,True
Energy,TotalRevenue,24271708452.5,80439470622.89032,25050029345.0,30057174561.0,4,155,-6.141428658672469,9.0319720932453e-09,0.6401847736842654,False,True,False
Energy,Gross Margin per,12.7375,36.76283870967742,13.120000000000001,33.43,4,155,-7.949676685034546,0.00022570273370393546,0.00740245489600382,False,True,True
Energy,DilutedEPS,2.17375,4.473116129032259,2.3979999999999997,2.689,4,155,-3.745165789962348,0.0016278528711023792,0.5271122048188981,False,True,False
Energy,Operating Margin per,7.3774999999999995,23.922838709677418,8.2,21.17,4,155,-5.504858843172059,0.004424890846707761,0.011964320075238484,False,True,True
Energy,fullTimeEmployees,14097.947368421053,23641.35457063712,5408.0,13200.0,19,361,-2.7191033312201953,0.01143146386617017,0.5418451230301814,False,True,False
Energy,Net Margin per,6.205,14.010129032258062,6.795,11.43,4,155,-2.9532526579383656,0.04660661180036761,0.08926194105193869,False,True,False
Financials,fullTimeEmployees,59465.96031746032,91742.40483383686,39976.0,50316.0,126,662,-5.2702017967839705,2.6886275384281125e-07,0.0014471035445055647,False,True,True
