,Unnamed: 0,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,Average Rank,Years Appeared,Adjusted Score,2016_x,2017_x,2018_x,2019_x,2020_x,2021_x,2022_x,2023_x,2024_x,2025_x,TotalRevenue_2020,TotalRevenue_2021,TotalRevenue_2022,TotalRevenue_2023,TotalRevenue_2024,NetIncome_2020,NetIncome_2021,NetIncome_2022,NetIncome_2023,NetIncome_2024,OperatingIncome_2020,OperatingIncome_2021,OperatingIncome_2022,OperatingIncome_2023,OperatingIncome_2024,GrossProfit_2020,GrossProfit_2021,GrossProfit_2022,GrossProfit_2023,GrossProfit_2024,DilutedEPS_2020,DilutedEPS_2021,DilutedEPS_2022,DilutedEPS_2023,DilutedEPS_2024,ReportDate_2024,2016_y,2017_y,2018_y,2019_y,2020_y,2021_y,2022_y,2023_y,2024_y,2025_y
0,0,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,SEK,75.0,1,0.013333333,,,,75.0,,,,,,,,3654223798.0,5197569531.0,4744347652.0,4643746207.0,,148119135.7,182443194.2,303659689.4,364474087.5,,215324199.3,261604987.0,424257733.0,504656428.8,,799348571.4,1006426751.0,1209278845.0,1339565962.0,0.631851289,0.5751599,0.705034717,1.169904099,,12/31/2024,-2.202286119674448,17.083332578838352,6.243825181262118,46.66994941756444,-5.539516867450518,19.04579166560908,-7.516373299129968,26.07028853568253,41.69900573873144,-17.596812299389974
1,1,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,USD,44.5,4,0.08988764,,,39.0,45.0,61.0,33.0,,,,,,28945000000.0,29446000000.0,32235000000.0,32850000000.0,,4546000000.0,2475000000.0,3745000000.0,3935000000.0,,3086000000.0,3412000000.0,4354000000.0,5097000000.0,,9467000000.0,9710000000.0,11214000000.0,12274000000.0,,2.25,1.3,2.01,2.13,12/31/2024,26.47975846894674,24.945874844023876,-25.993821196346843,31.23433894292876,11.25991038748295,43.80620971467769,-14.26437794260388,35.24411411113037,34.428081736710915,-4.544915376044912
2,2,ACN,Accenture PLC,Ireland,Communication Services,791000.0,USD,61.4,5,0.081433225,76.0,57.0,,93.0,20.0,61.0,,,,,,50533389000.0,61594305000.0,64111745000.0,64896464000.0,,5906809000.0,6877169000.0,6871557000.0,7264787000.0,,7621529000.0,9367181000.0,8809889000.0,9595847000.0,,16364128000.0,19701539000.0,20731607000.0,21162317000.0,,9.16,10.71,10.77,11.44,8/31/2024,16.446632320252345,33.05195751130936,-7.26838704391229,53.52853632648159,24.09862315592522,60.51539789235635,-34.77057448551491,32.42389841383503,2.862346813758964,-15.683168382281972
3,3,ANA.MC,Acciona SA,Spain,Utilities,66021.0,EUR,51.0,5,0.098039216,,,56.0,68.0,70.0,31.0,,,,30.0,,9320299243.0,12875215946.0,19575618635.0,22070155784.0,,381828646.2,507188051.1,622196679.5,485336411.7,,768257637.5,1332950003.0,1266244998.0,1171937923.0,,7169637892.0,8952271632.0,13290397094.0,13951696707.0,8.165612614,6.992524605,9.269695446,11.37435335,,12/31/2024,-7.918880194685353,0.8140860987535754,10.35556774642674,32.6620469458581,26.3393366025863,48.30598221625132,2.260551847112204,-22.94797511459086,-19.895872523000254,36.35530957666501
4,4,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045.0,EUR,59.57142857,7,0.117505995,5.0,49.0,,84.0,55.0,76.0,82.0,66.0,,,,24420932148.0,25889592332.0,24642898800.0,27237493456.0,,2433582576.0,703852805.6,-86256471.28,878665920.7,,2287521618.0,838412900.8,320874073.1,1484761392.0,,12380678844.0,12241518404.0,11711328627.0,13829787561.0,,12.53594049,3.841288188,-0.483036239,4.922369294,12/31/2024,72.83120079399393,12.880560939230026,10.634712288179976,60.46896925602779,3.0082949953735376,-14.707040588079462,-48.95460825414187,44.09735048559417,28.94786130060303,-15.741748177432296
5,5,ADBE,Adobe Systems Inc,USA,Health Care,30709.0,USD,92.0,1,0.010869565,92.0,,,,,,,,,,,15785000000.0,17606000000.0,19409000000.0,21505000000.0,,4822000000.0,4756000000.0,5428000000.0,5560000000.0,,5802000000.0,6098000000.0,6650000000.0,7741000000.0,,13920000000.0,15441000000.0,17055000000.0,19147000000.0,,10.02,10.1,11.82,12.36,11/30/2024,12.182631267449736,69.42860386358794,26.88654941044761,49.30653033973997,50.74242794152463,14.037586091840652,-40.61060896851075,75.3880436156619,-24.377876472325195,-15.10630989217704
6,6,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,TWD,68.0,2,0.029411765,,,,86.0,50.0,,,,,,,1984967609.0,2327724888.0,2186289752.0,2024389374.0,,279356102.5,364239214.0,366963386.9,304914392.5,,331977101.3,426061648.2,411755685.8,307927801.2,,749384600.2,884200802.1,885850177.3,825377927.6,,0.323557131,0.421900913,0.423932538,0.351471226,12/31/2024,20.33096168700297,-9.020658528903144,-0.7075457118047257,45.39007185044885,26.683894043469376,14.92754113876267,-17.45636473822191,24.174291674451094,-6.998654104979811,-4.934687953555878
7,7,ADP.PA,Aeroports de Paris,France,Information Technology,29330.0,EUR,31.0,1,0.032258065,31.0,,,,,,,,,,,3193789610.0,5391604498.0,6319724129.0,7082231335.0,,-285221398.4,593444522.4,725704445.0,393329509.0,,48303623.91,1083381279.0,1397354835.0,1434157596.0,,1029327224.0,2487636632.0,3113283570.0,3539965581.0,-13.58251901,-2.875215709,6.003450401,7.349051353,,12/31/2024,-2.154515271481725,58.77877313531447,5.181876438840309,10.768260459430666,-40.95021703496505,4.376159799371078,9.488408177164208,-4.938861192079076,-2.013062777827346,-6.247509622713162
8,8,A,Agilent Technologies Inc,USA,Communication Services,18000.0,USD,65.0,1,0.015384615,65.0,,,,,,,,,,,6319000000.0,6848000000.0,6833000000.0,6510000000.0,,1210000000.0,1254000000.0,1240000000.0,1289000000.0,,1347000000.0,1618000000.0,1350000000.0,1488000000.0,,3407000000.0,3722000000.0,3465000000.0,3535000000.0,,3.94,4.18,4.19,4.43,10/31/2024,12.174943107191822,47.12312032166648,-1.2587066395291129,28.758949063671444,37.5419253109057,35.81425353029776,-5.261244380716103,-7.844062124363979,-2.2338982187020147,-13.928920580842524
9,9,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,USD,79.5,2,0.025157233,,,,,,73.0,86.0,,,,,3869625000.0,5741162000.0,6626909000.0,8285753000.0,,561945000.0,670249000.0,1941307000.0,1895581000.0,,1056728000.0,1442909000.0,1694633000.0,3149429000.0,,1358375000.0,2003150000.0,2201875000.0,3685597000.0,2.1,2.22,1.53,3.95,,12/31/2024,51.82669899909802,3.943584655348621,-4.273541202484766,49.66005062181489,16.11516549074472,-26.161224807297423,9.693982741083502,3.939679415461613,57.31019452756328,47.30752059918326
