Company Name,Country,GICS Sector,Ticker
Meta Platforms,USA,Communication Services,META
Netflix,USA,Communication Services,NFLX
T-Mobile US,USA,Communication Services,TMUS
The Walt Disney Company,USA,Communication Services,DIS
Verizon Communications,USA,Communication Services,VZ
Spotify Technology,Sweden,Communication Services,SPOT
Comcast Corporation,USA,Communication Services,CMCSA
Charter Communications,USA,Communication Services,CHTR
Baidu,China,Communication Services,BIDU
Interpublic Group,USA,Communication Services,IPG
Tencent,China,Communication Services,0700.HK
China Mobile,China,Communication Services,0941.HK
AT&T,USA,Communication Services,T
Deutsche Telekom,Germany,Communication Services,DTE.DE
China Telecom,China,Communication Services,0728.HK
Bharti Airtel,India,Communication Services,BHARTIARTL.NS
Orange,France,Communication Services,ORA.PA
NTT,Japan,Communication Services,9432.T
Vodafone,UK,Communication Services,VOD.L
SoftBank,Japan,Communication Services,9984.T
RELX,UK,Communication Services,RELX
Prosus,Netherlands,Communication Services,PRX.AS
Airbnb,USA,Communication Services,ABNB
Sony,Japan,Communication Services,6758.T
Thomson Reuters,Canada,Communication Services,TRI
Fox,USA,Communication Services,FOXA
Paramount Global,USA,Communication Services,PARA
American Tower,USA,Communication Services,AMT
BT Group,UK,Communication Services,BT-A.L
Telefónica,Spain,Communication Services,TEF
Amazon,USA,Consumer Discretionary,AMZN
Tesla,USA,Consumer Discretionary,TSLA
The Home Depot,USA,Consumer Discretionary,HD
Alibaba Group,China,Consumer Discretionary,BABA
Toyota Motor,Japan,Consumer Discretionary,TM
McDonald’s,USA,Consumer Discretionary,MCD
Booking Holdings,USA,Consumer Discretionary,BKNG
DoorDash,USA,Consumer Discretionary,DASH
Royal Caribbean Cruises,USA,Consumer Discretionary,RCL
Carnival Corporation,USA,Consumer Discretionary,CCL
Nike,USA,Consumer Discretionary,NKE
eBay,USA,Consumer Discretionary,EBAY
Starbucks,USA,Consumer Discretionary,SBUX
Ford Motor,USA,Consumer Discretionary,F
General Motors,USA,Consumer Discretionary,GM
Yum! Brands,USA,Consumer Discretionary,YUM
