Year-Month-Date,Ticker,Original Currency,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetIncome,DilutedEPS,InterestExpense,NormalizedEBITDA,EBITDA,EBIT,NormalizedIncome,TotalExpenses,DilutedAverageShares,BasicAverageShares,BasicEPS,ResearchAndDevelopment,fullTimeEmployees,sector,industry,marketCap,enterpriseValue,beta,dividendYield,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,totalDebt,debtToEquity,operatingMargins,profitMargins,country
2024-12-31,META,USD,164501000000.0,30161000000.0,134340000000.0,64960000000.0,69380000000.0,62360000000.0,23.86,715000000.0,87566000000.0,86876000000.0,71378000000.0,62968580000.0,95121000000.0,2614000000.0,2534000000.0,24.61,43873000000.0,76834,Communication Services,Internet Content & Information,1844588052480.0,1823874875392.0,1.266,0.29,28.657421,28.997234,10.827589,10.003546,49519001600.0,26.763,0.41487,0.39113998,United States
2023-12-31,META,USD,134902000000.0,25959000000.0,108943000000.0,62192000000.0,46751000000.0,39098000000.0,14.87,446000000.0,59418000000.0,59052000000.0,47874000000.0,39399584000.0,88151000000.0,2629000000.0,2574000000.0,15.19,38483000000.0,76834,Communication Services,Internet Content & Information,1844588052480.0,1823874875392.0,1.266,0.29,28.657421,28.997234,10.827589,10.003546,49519001600.0,26.763,0.41487,0.39113998,United States
2022-12-31,META,USD,116609000000.0,25249000000.0,91360000000.0,62416000000.0,28944000000.0,23200000000.0,8.59,185000000.0,37771000000.0,37690000000.0,29004000000.0,23265205000.0,87665000000.0,2702000000.0,2687000000.0,8.63,35338000000.0,76834,Communication Services,Internet Content & Information,1844588052480.0,1823874875392.0,1.266,0.29,28.657421,28.997234,10.827589,10.003546,49519001600.0,26.763,0.41487,0.39113998,United States
2021-12-31,META,USD,117929000000.0,22649000000.0,95280000000.0,48527000000.0,46753000000.0,39370000000.0,13.77,23000000.0,55414000000.0,55274000000.0,47307000000.0,39486620000.0,71176000000.0,2859000000.0,2815000000.0,13.99,24655000000.0,76834,Communication Services,Internet Content & Information,1844588052480.0,1823874875392.0,1.266,0.29,28.657421,28.997234,10.827589,10.003546,49519001600.0,26.763,0.41487,0.39113998,United States
2020-12-31,META,USD,,,,,,,,,,,,,,,,,,76834,Communication Services,Internet Content & Information,1844588052480.0,1823874875392.0,1.266,0.29,28.657421,28.997234,10.827589,10.003546,49519001600.0,26.763,0.41487,0.39113998,United States
2024-12-31,NFLX,USD,39000966000.0,21038464000.0,17962502000.0,7544888000.0,10417614000.0,8711631000.0,19.83,718733000.0,26314821000.0,26314821000.0,10684390000.0,8711631000.0,28583352000.0,439261000.0,429519000.0,20.28,2925295000.0,14000,Communication Services,Entertainment,563081510912.0,572282437632.0,1.589,,62.499763,55.640034,14.016303,23.440456,17423486976.0,72.513,0.31746998,0.23074,United States
2023-12-31,NFLX,USD,33723297000.0,19715368000.0,14007929000.0,7053926000.0,6954003000.0,5407990000.0,12.03,748598000.0,21508387000.0,21508387000.0,6954003000.0,5407990000.0,26769294000.0,449498000.0,441571000.0,12.25,2675758000.0,14000,Communication Services,Entertainment,563081510912.0,572282437632.0,1.589,,62.499763,55.640034,14.016303,23.440456,17423486976.0,72.513,0.31746998,0.23074,United States
2022-12-31,NFLX,USD,31615550000.0,19168285000.0,12447265000.0,6814434000.0,5632831000.0,4491924000.0,9.95,706212000.0,20332955000.0,20332955000.0,5970141000.0,4491924000.0,25982719000.0,451290000.0,444698000.0,10.1,2711041000.0,14000,Communication Services,Entertainment,563081510912.0,572282437632.0,1.589,,62.499763,55.640034,14.016303,23.440456,17423486976.0,72.513,0.31746998,0.23074,United States
2021-12-31,NFLX,USD,29697844000.0,17332683000.0,12365161000.0,6170652000.0,6194509000.0,5116228000.0,11.24,765620000.0,19044502000.0,19044502000.0,6605723000.0,5116228000.0,23503335000.0,455372000.0,443155000.0,11.55,2273885000.0,14000,Communication Services,Entertainment,563081510912.0,572282437632.0,1.589,,62.499763,55.640034,14.016303,23.440456,17423486976.0,72.513,0.31746998,0.23074,United States
2024-12-31,TMUS,USD,81400000000.0,29653000000.0,51747000000.0,33737000000.0,18010000000.0,11339000000.0,,3411000000.0,31042000000.0,31042000000.0,18123000000.0,11339000000.0,63390000000.0,,,,,70000,Communication Services,Telecom Services,267114610688.0,376802476032.0,0.628,1.5,22.996092,22.047798,3.2302353,4.3786993,121691996160.0,199.152,0.22982,0.14413,United States
2023-12-31,TMUS,USD,78558000000.0,30188000000.0,48370000000.0,34129000000.0,14241000000.0,8317000000.0,6.93,3335000000.0,27127000000.0,27152000000.0,14334000000.0,8298100000.0,64317000000.0,1200286264.0,1185121562.0,7.02,,70000,Communication Services,Telecom Services,267114610688.0,376802476032.0,0.628,1.5,22.996092,22.047798,3.2302353,4.3786993,121691996160.0,199.152,0.22982,0.14413,United States
2022-12-31,TMUS,USD,79571000000.0,36206000000.0,43365000000.0,35258000000.0,8107000000.0,2590000000.0,2.06,3364000000.0,21725000000.0,20161000000.0,6510000000.0,3877172000.0,71464000000.0,1255376769.0,1249763934.0,2.07,,70000,Communication Services,Telecom Services,267114610688.0,376802476032.0,0.628,1.5,22.996092,22.047798,3.2302353,4.3786993,121691996160.0,199.152,0.22982,0.14413,United States
2021-12-31,TMUS,USD,80118000000.0,36605000000.0,43513000000.0,36621000000.0,6892000000.0,3024000000.0,2.41,3342000000.0,23076000000.0,23076000000.0,6693000000.0,3024000000.0,73226000000.0,1254769926.0,1247154988.0,2.42,,70000,Communication Services,Telecom Services,267114610688.0,376802476032.0,0.628,1.5,22.996092,22.047798,3.2302353,4.3786993,121691996160.0,199.152,0.22982,0.14413,United States
2020-12-31,TMUS,USD,,,,,,,2.65,,,,,,,1154749428.0,1144206326.0,2.68,,70000,Communication Services,Telecom Services,267114610688.0,376802476032.0,0.628,1.5,22.996092,22.047798,3.2302353,4.3786993,121691996160.0,199.152,0.22982,0.14413,United States
2024-09-30,DIS,USD,91361000000.0,58698000000.0,32663000000.0,20749000000.0,11914000000.0,4972000000.0,2.72,2070000000.0,18289000000.0,14629000000.0,9639000000.0,7764580000.0,79447000000.0,1831000000.0,1825000000.0,2.72,,177080,Communication Services,Entertainment,219936735232.0,261400281088.0,1.552,0.82,24.916496,23.755339,2.3387573,2.1117134,42888998912.0,39.432,0.15118,0.09475,United States
2023-09-30,DIS,USD,88898000000.0,59201000000.0,29697000000.0,20705000000.0,8992000000.0,2354000000.0,1.29,1973000000.0,15935000000.0,12111000000.0,6742000000.0,5072864000.0,79906000000.0,1830000000.0,1828000000.0,1.29,,177080,Communication Services,Entertainment,219936735232.0,261400281088.0,1.552,0.82,24.916496,23.755339,2.3387573,2.1117134,42888998912.0,39.432,0.15118,0.09475,United States
2022-09-30,DIS,USD,82722000000.0,54401000000.0,28321000000.0,21551000000.0,6770000000.0,3145000000.0,1.72,1549000000.0,12897000000.0,11997000000.0,6834000000.0,3797800000.0,75952000000.0,1827000000.0,1822000000.0,1.73,,177080,Communication Services,Entertainment,219936735232.0,261400281088.0,1.552,0.82,24.916496,23.755339,2.3387573,2.1117134,42888998912.0,39.432,0.15118,0.09475,United States
2021-09-30,DIS,USD,67418000000.0,45131000000.0,22287000000.0,18628000000.0,3659000000.0,1995000000.0,1.09,1406000000.0,9732000000.0,9078000000.0,3967000000.0,2671460000.0,63759000000.0,1828000000.0,1816000000.0,1.1,,177080,Communication Services,Entertainment,219936735232.0,261400281088.0,1.552,0.82,24.916496,23.755339,2.3387573,2.1117134,42888998912.0,39.432,0.15118,0.09475,United States
2020-09-30,DIS,USD,,,,,,,,,,,,,,,,,,177080,Communication Services,Entertainment,219936735232.0,261400281088.0,1.552,0.82,24.916496,23.755339,2.3387573,2.1117134,42888998912.0,39.432,0.15118,0.09475,United States
2024-12-31,VZ,USD,134788000000.0,54097000000.0,80691000000.0,52005000000.0,28686000000.0,17506000000.0,,6649000000.0,47135000000.0,47520000000.0,29628000000.0,17205315000.0,106102000000.0,,,,,99400,Communication Services,Telecom Services,178389549056.0,349953753088.0,0.38,6.41,10.073811,8.945032,1.318552,1.7711082,172533006336.0,169.089,0.24674,0.13144,United States
2023-12-31,VZ,USD,133974000000.0,54887000000.0,79087000000.0,50369000000.0,28718000000.0,11614000000.0,2.75,5524000000.0,45668000000.0,40135000000.0,22511000000.0,15553496000.0,105256000000.0,4215000000.0,4211000000.0,2.76,,99400,Communication Services,Telecom Services,178389549056.0,349953753088.0,0.38,6.41,10.073811,8.945032,1.318552,1.7711082,172533006336.0,169.089,0.24674,0.13144,United States
