Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ReportDate_2024,Average Rank,Years Appeared,Adjusted Score,2016_Ranking,2017_Ranking,2018_Ranking,2019_Ranking,2020_Ranking,2021_Ranking,2022_Ranking,2023_Ranking,2024_Ranking,2025_Ranking,TotalRevenue_2020,TotalRevenue_2021,TotalRevenue_2022,TotalRevenue_2023,TotalRevenue_2024,NetIncome_2020,NetIncome_2021,NetIncome_2022,NetIncome_2023,NetIncome_2024,OperatingIncome_2020,OperatingIncome_2021,OperatingIncome_2022,OperatingIncome_2023,OperatingIncome_2024,GrossProfit_2020,GrossProfit_2021,GrossProfit_2022,GrossProfit_2023,GrossProfit_2024,DilutedEPS_2020,DilutedEPS_2021,DilutedEPS_2022,DilutedEPS_2023,DilutedEPS_2024,2016_Stock_Performance,2017_Stock_Performance,2018_Stock_Performance,2019_Stock_Performance,2020_Stock_Performance,2021_Stock_Performance,2022_Stock_Performance,2023_Stock_Performance,2024_Stock_Performance,2025_Stock_Performance
META,Meta Platforms,USA,Communication Services,76834,USD,12/31/2024,0,0,0,,,,,,,,,,,,1.18E+11,1.17E+11,1.35E+11,1.65E+11,,39370000000,23200000000,39098000000,62360000000,,46753000000,28944000000,46751000000,69380000000,,95280000000,91360000000,1.09E+11,1.34E+11,,13.77,8.59,14.87,23.86,12.8494446,52.08134725,-25.03376892,58.46962994,31.49695838,25.3220581,-64.42802652,188.1941179,68.93386314,24.60958734
NFLX,Netflix,USA,Communication Services,14000,USD,12/31/2024,0,0,0,,,,,,,,,,,,29697844000,31615550000,33723297000,39000966000,,5116228000,4491924000,5407990000,8711631000,,6194509000,5632831000,6954003000,10417614000,,12365161000,12447265000,14007929000,17962502000,,11.24,9.95,12.03,19.83,13.57798445,53.61716399,30.58642458,24.69530973,60.86783718,13.56030183,-51.30859596,63.34966412,86.35112236,47.75209326
TMUS,T-Mobile US,USA,Communication Services,70000,USD,12/31/2024,0,0,0,,,,,,,,,,,,80118000000,79571000000,78558000000,81400000000,,3024000000,2590000000,8317000000,11339000000,,6892000000,8107000000,14241000000,18010000000,,43513000000,43365000000,48370000000,51747000000,2.65,2.41,2.06,6.93,,47.99280733,9.311512745,-1.032867894,24.1927903,68.96556002,-13.24645667,20.93986938,15.84883798,39.65900447,6.62862262
DIS,The Walt Disney Company,USA,Communication Services,177080,USD,9/30/2024,0,0,0,,,,,,,,,,,,67418000000,82722000000,88898000000,91361000000,,1995000000,3145000000,2354000000,4972000000,,3659000000,6770000000,8992000000,11914000000,,22287000000,28321000000,29697000000,32663000000,,1.09,1.72,1.29,2.72,2.585429971,3.685739694,0.0472707,34.6226097,24.6954313,-14.44638757,-44.2469407,1.802952016,24.08923767,9.992574426
VZ,Verizon Communications,USA,Communication Services,99400,USD,12/31/2024,0,0,0,,,,,,,,,,,,1.34E+11,1.37E+11,1.34E+11,1.35E+11,,22065000000,21256000000,11614000000,17506000000,,32448000000,30467000000,28718000000,28686000000,,77312000000,77702000000,79087000000,80691000000,4.3,5.32,5.06,2.75,,22.15308418,2.85785925,8.904466043,13.60543622,-1.135670608,-7.364001649,-20.19058387,1.757641647,11.95009942,9.296401259
SPOT,Spotify Technology,Sweden,Communication Services,7258,EUR,12/31/2024,0,0,0,,,,,,,,,,,,11304032507,13711459372,15488675902,18325207021,,-39753527.64,-502765202.5,-622025785.4,1330573955,,109906811.7,-770516903.4,-521472744.9,1595987213,,3029452651,3421141820,3971845100,5523401899,,-1.204298043,-3.425818706,-3.191974425,6.430717707,,,-32.39300314,34.16621229,111.4900703,-25.04568455,-66.43995879,129.4943942,140.2499342,71.46788553
CMCSA,Comcast Corporation,USA,Communication Services,182000,USD,12/31/2024,0,0,0,,,,,,,,,,,,1.16E+11,1.21E+11,1.22E+11,1.24E+11,,14159000000,5370000000,15388000000,16192000000,,20817000000,22624000000,23313000000,23298000000,,77935000000,83214000000,84810000000,86705000000,,3.04,1.21,3.71,4.14,27.32100674,16.41150436,-14.50340648,36.92033052,15.42787691,-1.491016859,-28.17857789,28.19018702,-12.1692252,-4.920744147
CHTR,Charter Communications,USA,Communication Services,94500,USD,12/31/2024,0,0,0,,,,,,,,,,,,51682000000,54022000000,54607000000,55085000000,,4654000000,5055000000,4557000000,5083000000,,10855000000,12243000000,12506000000,13245000000,,23456000000,29511000000,29967000000,30777000000,15.4,24.47,30.74,29.99,,59.45946905,15.75248166,-15.76397106,72.59636332,34.07397988,-1.404168381,-47.24231721,13.62918653,-11.28632098,15.67999737
BIDU,Baidu,China,Communication Services,35900,CNY,12/31/2024,0,0,0,,,,,,,,,,,,17369096949,17254970682,18778933041,18573422050,,1426717851,1054621576,2834321645,3314963440,,1467457300,2219881452,3049319905,2967561968,,8396093638,8334844945,9705894849,9350959369,,3.917684065,2.76805028,7.69026872,9.197070284,-9.311043218,40.8358403,-31.42627832,-19.13816952,69.61154959,-31.38808966,-23.18850686,0.193501368,-28.09478699,3.55897457
IPG,Interpublic Group,USA,Communication Services,51500,USD,12/31/2024,0,0,0,,,,,,,,,,,,10240700000,10927800000,10889300000,10691700000,,952800000,938000000,1098400000,689500000,,1446800000,1483600000,1482700000,1430300000,,1852900000,1844700000,1814200000,1819700000,,2.39,2.37,2.85,1.83,4.974538593,-11.92635547,9.609059333,18.46239539,6.154374479,66.45491072,-8.384992273,-0.359319701,-11.19869312,-11.42914756
0700.HK,Tencent,China,Communication Services,109414,CNY,12/31/2024,0,0,0,,,,,,,,,,,,78146914643,77370353763,84968958722,92118174066,,31366864918,26263411733,16074782309,27076805540,,17068852785,15896756495,23112382723,29129543633,,34313778123,33309522785,40894175877,48726335078,,3.231810316,2.698430467,1.65845835,2.858179336,25.70492725,116.5001178,-23.8427082,22.01280782,49.33380625,-20.30258009,-24.78882813,-6.789354306,40.87312735,24.09547863
0941.HK,China Mobile,China,Communication Services,455405,CNY,12/31/2024,0,0,0,,,,,,,,,,,,1.18E+11,1.31E+11,1.41E+11,1.45E+11,,16204813703,17503871977,18383816187,19305615995,,17335193913,18829717835,20149982945,22049110990,,73549356132,78177050674,83377329811,84852181601,0.735263356,0.791070821,0.82036974,0.858039779,,-2.906161416,0.372472156,-2.618327182,-7.591393062,-29.20188565,17.00990696,20.51118248,35.35682137,25.84463264,15.96561734
T,AT&T,USA,Communication Services,139970,USD,12/31/2024,0,0,0,,,,,,,,,,,,1.34E+11,1.21E+11,1.22E+11,1.22E+11,,20081000000,-8524000000,14400000000,10948000000,,26110000000,22911000000,24654000000,24124000000,,73631000000,69893000000,72305000000,73115000000,,2.76,-1.13,1.97,1.49,33.27131251,-2.827500014,-21.36260505,48.5372383,-20.56635802,-7.244262469,5.695092806,-3.256578901,42.57799683,25.87926695
DTE.DE,Deutsche Telekom,Germany,Communication Services,198678,EUR,12/31/2024,0,0,0,,,,,,,,,,,,1.25E+11,1.33E+11,1.30E+11,1.35E+11,,4882668571,9354940431,20798110285,13105802686,,15516737216,16446268229,24747740178,28304511681,,71029030902,74316881483,78129712472,82278110003,,1.017222619,1.882446456,4.174120402,2.654132581,3.463476609,-5.736805826,4.889144915,3.512402436,2.445527372,11.83698897,18.07359638,19.71051988,37.043616,10.72081819
0728.HK,China Telecom,China,Communication Services,277674,CNY,12/31/2024,0,0,0,,,,,,,,,,,,61325847004,67170981402,71649949050,73863552161,,3620369794,3849738476,4247785222,4605790112,,4317823591,4663690358,5180048931,5553261355,,36685037325,39234740896,41633903830,42995605984,,0.043250786,0.041855599,0.046041159,0.050226719,2.036283667,6.192364254,9.84032487,-15.85845533,-29.37756385,26.31661959,33.41485491,29.23365977,38.74889716,15.22633232
BHARTIARTL.NS,Bharti Airtel,India,Communication Services,28673,INR,3/31/2025,0,0,0,,,,,,,,,,,,13604739641,16242635165,17507728671,20192888937,,496682508.9,974232661.4,871637005.3,3917066896,,2890526676,4108799022,4523850922,5555142130,,8304539954,10257487781,11720967130,13830464092,-0.321246155,0.08906643,0.17007836,0.149416816,,-9.735401263,75.18549545,-39.1026037,58.73922244,13.58480413,35.11072995,17.72069258,28.61287566,54.63381054,27.25046928
ORA.PA,Orange,France,Communication Services,126909,EUR,12/31/2024,0,0,0,,,,,,,,,,,,49717632422,45748125765,46392366757,47072853613,,272428586.5,2509149127,2852900219,2747670293,,5102482195,6720684614,6277549703,7149788868,,28703216178,26848831036,26793877630,27606486504,,0.003519356,0.853531623,0.993838191,0.958761549,-0.76110163,5.070981388,1.659321753,-1.971419272,-21.75973876,1.006145283,5.219151236,18.20417982,-0.510910535,36.93138363
9432.T,NTT,Japan,Communication Services,341321,JPY,3/31/2025,0,0,0,,,,,,,,,,,,84014866707,90786032132,92433474337,94715241399,,8162626038,8384010479,8842944510,6911247254,,12485970519,12750722343,13389511795,11539103328,,66280012283,71651091995,72146074515,73300372563,,0.091030728,0.096203023,0.104289052,0.082657195,5.461735299,10.54635565,-12.73790159,27.72864899,-0.151512512,22.32542073,22.59824462,17.83134455,-4.134739172,-3.41703947
VOD.L,Vodafone,United Kingdom,Communication Services,88780,EUR,3/31/2025,0,0,0,,,,,,,,,,,,43272884059,44046908627,42930302188,43785003033,,2615548275,13841242948,1332912397,-4874484022,,6728869164,6062412965,4461748867,4838238158,,15272369943,15565844514,14332315936,14637482722,0.004443041,0.083833174,0.498322161,0.049107299,,-8.921529555,16.87391838,-34.26323163,-1.926881043,-16.28606409,-8.186275944,-25.71428825,-19.30320647,-2.040231537,13.56221958
9984.T,SoftBank,Japan,Communication Services,,JPY,3/31/2025,0,0,0,,,,,,,,,,,,42997871806,45409201948,46695094949,50062560116,,-11804421865,-6704797779,-1573292620,7970835084,,4933528738,4372772931,3870298739,5043706079,,22568828238,23000553124,24481955271,25945810041,,-7.088545554,-4.578006045,-1.203920009,5.386539925,29.26546373,14.2247147,-17.7208335,36.74816417,73.53990983,-32.53177849,2.135454933,14.15884107,52.81823972,8.696853365
RELX,RELX,United Kingdom,Communication Services,34580,GBP,12/31/2024,0,0,0,,,,,,,,,,,,9942218602,11738790130,12573255745,12947941785,,2018912695,2242626338,2444380360,2654369240,,2545943609,3162185486,3617847631,3867638324,,6425934221,7559599677,8159371837,8418769866,0.867405046,1.040337065,1.162487459,1.284637854,,4.538038427,35.26467785,-10.43744915,25.82837917,1.315517561,31.04015328,-12.08792009,45.72141397,18.39185964,19.26748306
PRX.AS,Prosus,Netherlands,Communication Services,23323,USD,3/31/2025,0,0,0,,,,,,,,,,,,5220000000,4947000000,5467000000,6170000000,,18733000000,10112000000,6606000000,12367000000,,-781000000,-386000000,-166000000,161000000,,1371000000,1637000000,2222000000,2624000000,,5.652413,3.63,2.53,5.11,,,,-11.55262718,31.42441261,-19.75228889,-11.92194171,-9.414436134,39.00192668,23.95154947
ABNB,Airbnb,USA,Communication Services,7300,USD,12/31/2024,0,0,0,,,,,,,,,,,,5992000000,8399000000,9917000000,11102000000,,-352000000,1893000000,4792000000,2648000000,,542000000,1891000000,1518000000,2553000000,,4836000000,6900000000,8214000000,9224000000,,-0.57,2.79,7.24,4.11,,,,,1.664378545,11.78223236,-48.2749224,55.79332387,-1.948966198,2.009561882
