,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ReportDate_2024,Average Rank,Sum of Rank,Years Appeared,Adjusted Score,2016_Ranking,2017_Ranking,2018_Ranking,2019_Ranking,2020_Ranking,2021_Ranking,2022_Ranking,2023_Ranking,2024_Ranking,2025_Ranking,TotalRevenue_2021,TotalRevenue_2022,TotalRevenue_2023,TotalRevenue_2024,TotalRevenueIncr_2022,TotalRevenueIncr_2023,TotalRevenueIncr_2024,NetIncome_2021,NetIncome_2022,NetIncome_2023,NetIncome_2024,NetIncomeIncr_2022,NetIncomeIncr_2023,NetIncomeIncr_2024,OperatingIncome_2021,OperatingIncome_2022,OperatingIncome_2023,OperatingIncome_2024,OperatingIncomeIncr_2022,OperatingIncomeIncr_2023,OperatingIncomeIncr_2024,GrossProfit_2021,GrossProfit_2022,GrossProfit_2023,GrossProfit_2024,GrossProfitIncr_2022,GrossProfitIncr_2023,GrossProfitIncr_2024,DilutedEPS_2021,DilutedEPS_2022,DilutedEPS_2023,DilutedEPS_2024,DilutedEPSIncr_2022,DilutedEPSIncr_2023,DilutedEPSIncr_2024,2015_Stock_Performance,2016_Stock_Performance,2017_Stock_Performance,2018_Stock_Performance,2019_Stock_Performance,2020_Stock_Performance,2021_Stock_Performance,2022_Stock_Performance,2023_Stock_Performance,2024_Stock_Performance,2025_Stock_Performance
0,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000,SEK,12/31/2024,75,75,1,0.013333333,,,,75,,,,,,,3654223798,5197569531,4744347652,4643746207,42.23457069,-8.719881019,-2.120448424,148119135.7,182443194.2,303659689.4,364474087.5,23.1732776,66.440678,20.02715547,215324199.3,261604987,424257733,504656428.8,21.49353758,62.17494088,18.95043733,799348571.4,1006426751,1209278845,1339565962,25.90586723,20.1556739,10.77395156,0.631851289,0.5751599,0.705034717,1.169904099,-8.972267682,22.58064531,65.9356725,50.08372902,-2.20228612,17.08333258,6.243825181,46.66994942,-5.539516867,19.04579167,-7.516373299,26.07028854,41.69900574,-17.5968123
1,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970,USD,12/31/2024,44.5,178,4,0.08988764,,,39,45,61,33,,,,,28945000000,29446000000,32235000000,32850000000,1.730868889,9.471575087,1.907864123,4546000000,2475000000,3745000000,3935000000,-45.55653322,51.31313131,5.073431242,3086000000,3412000000,4354000000,5097000000,10.56383668,27.6084408,17.06476803,9467000000,9710000000,11214000000,12274000000,2.566811028,15.48918641,9.452470127,2.25,1.3,2.01,2.13,-42.22222222,54.61538462,5.970149254,-12.02042361,26.47975847,24.94587484,-25.9938212,31.23433894,11.25991039,43.80620971,-14.26437794,35.24411411,34.42808174,-4.544915376
2,ACN,Accenture PLC,Ireland,Communication Services,791000,USD,8/31/2024,61.4,307,5,0.081433225,76,57,,93,20,61,,,,,50533389000,61594305000,64111745000,64896464000,21.88833209,4.087131107,1.223986338,5906809000,6877169000,6871557000,7264787000,16.42782084,-0.081603346,5.722574956,7621529000,9367181000,8809889000,9595847000,22.90422302,-5.949409967,8.921315581,16364128000,19701539000,20731607000,21162317000,20.3946767,5.228363124,2.077552406,9.16,10.71,10.77,11.44,16.92139738,0.56022409,6.220984215,20.59972368,16.44663232,33.05195751,-7.268387044,53.52853633,24.09862316,60.51539789,-34.77057449,32.42389841,2.862346814,-15.68316838
3,ANA.MC,Acciona SA,Spain,Utilities,66021,EUR,12/31/2024,51,255,5,0.098039216,,,56,68,70,31,,,,30,9320299243,12875215946,19575618635,22070155784,38.14165844,52.04108977,12.74308207,381828646.2,507188051.1,622196679.5,485336411.7,32.83132529,22.67573697,-21.99630315,768257637.5,1332950003,1266244998,1171937923,73.50299404,-5.004314104,-7.447774732,7169637892,8952271632,13290397094,13951696707,24.86365095,48.45837616,4.975770162,8.165612614,6.992524605,9.269695446,11.37435335,-14.36619718,32.56578946,22.70471469,45.4376224,-7.918880195,0.814086099,10.35556775,32.66204695,26.3393366,48.30598222,2.260551847,-22.94797511,-19.89587252,36.35530958
4,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045,EUR,12/31/2024,59.57142857,417,7,0.117505995,5,49,,84,55,76,82,66,,,24420932148,25889592332,24642898800,27237493456,6.013939907,-4.815423573,10.52877211,2433582576,703852805.6,-86256471.28,878665920.7,-71.07750472,-112.254902,-1118.666667,2287521618,838412900.8,320874073.1,1484761392,-63.34841629,-61.72839507,362.7240143,12380678844,12241518404,11711328627,13829787561,-1.124013002,-4.331078544,18.08897181,12.53594049,3.841288188,-0.483036239,4.922369294,-69.35779816,-112.5748503,-1119.047619,59.02753107,72.83120079,12.88056094,10.63471229,60.46896926,3.008294995,-14.70704059,-48.95460825,44.09735049,28.9478613,-15.74174818
5,ADBE,Adobe Systems Inc,USA,Health Care,30709,USD,11/30/2024,92,92,1,0.010869565,92,,,,,,,,,,15785000000,17606000000,19409000000,21505000000,11.53626861,10.24082699,10.79911381,4822000000,4756000000,5428000000,5560000000,-1.368726669,14.12952061,2.43183493,5802000000,6098000000,6650000000,7741000000,5.101689073,9.052148245,16.40601504,13920000000,15441000000,17055000000,19147000000,10.92672414,10.45269089,12.2661976,10.02,10.1,11.82,12.36,0.798403194,17.02970297,4.568527919,31.059151,12.18263127,69.42860386,26.88654941,49.30653034,50.74242794,14.03758609,-40.61060897,75.38804362,-24.37787647,-15.10630989
6,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,TWD,12/31/2024,68,136,2,0.029411765,,,,86,50,,,,,,1984967609,2327724888,2186289752,2024389374,17.26765099,-6.076110486,-7.405257142,279356102.5,364239214,366963386.9,304914392.5,30.38527197,0.747907637,-16.90876982,331977101.3,426061648.2,411755685.8,307927801.2,28.34067366,-3.357721227,-25.21589578,749384600.2,884200802.1,885850177.3,825377927.6,17.99025519,0.186538532,-6.826464706,0.323557131,0.421900913,0.423932538,0.351471226,30.39456485,0.481540792,-17.09265166,-7.211027365,20.33096169,-9.020658529,-0.707545712,45.39007185,26.68389404,14.92754114,-17.45636474,24.17429167,-6.998654105,-4.934687954
7,ADP.PA,Aeroports de Paris,France,Information Technology,29330,EUR,12/31/2024,31,31,1,0.032258065,31,,,,,,,,,,3193789610,5391604498,6319724129,7082231335,68.81526827,17.21416382,12.0655141,-285221398.4,593444522.4,725704445,393329509,-308.0645161,22.2868217,-45.80031696,48303623.91,1083381279,1397354835,1434157596,2142.857143,28.98089178,2.63374485,1029327224,2487636632,3113283570,3539965581,141.6759777,25.15025426,13.70520871,-13.58251901,-2.875215709,6.003450401,7.349051353,-78.83149873,-308.8,22.4137931,10.69613993,-2.154515271,58.77877314,5.181876439,10.76826046,-40.95021703,4.376159799,9.488408177,-4.938861192,-2.013062778,-6.247509623
8,A,Agilent Technologies Inc,USA,Communication Services,18000,USD,10/31/2024,65,65,1,0.015384615,65,,,,,,,,,,6319000000,6848000000,6833000000,6510000000,8.371577781,-0.219042056,-4.727059857,1210000000,1254000000,1240000000,1289000000,3.636363636,-1.116427432,3.951612903,1347000000,1618000000,1350000000,1488000000,20.11878248,-16.56365884,10.22222222,3407000000,3722000000,3465000000,3535000000,9.245670678,-6.904889844,2.02020202,3.94,4.18,4.19,4.43,6.091370558,0.23923445,5.727923628,3.212032813,12.17494311,47.12312032,-1.25870664,28.75894906,37.54192531,35.81425353,-5.261244381,-7.844062124,-2.233898219,-13.92892058
9,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,USD,12/31/2024,79.5,159,2,0.025157233,,,,,,73,86,,,,3869625000,5741162000,6626909000,8285753000,48.36481571,15.42800917,25.03194174,561945000,670249000,1941307000,1895581000,19.27306053,189.6396712,-2.355423434,1056728000,1442909000,1694633000,3149429000,36.54497657,17.44559082,85.84726014,1358375000,2003150000,2201875000,3685597000,47.46664213,9.920625016,67.38447914,2.1,2.22,1.53,3.95,5.714285714,-31.08108108,158.1699346,29.16270651,51.826699,3.943584655,-4.273541202,49.66005062,16.11516549,-26.16122481,9.693982741,3.939679415,57.31019453,47.3075206
