Year,Ranking,Stock_Performance_Year,Stock_Performance,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Average Rank,Years Appeared,Original Currency,ReportDate_2024,DilutedEPSIncr,OperatingIncomeIncr,TotalRevenueIncr,GrossProfitIncr,NetIncomeIncr,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS
2019,75.0,2018,6.24382518126211,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,,,,,,,,,,
2018,39.0,2017,24.9458748440238,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,,,,,,,,,,
2019,45.0,2018,-25.9938211963468,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,,,,,,,,,,
2020,61.0,2019,31.2343389429287,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,,,,,,,,,,
2021,33.0,2020,11.2599103874829,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,,,,,,,,,,
2016,76.0,2015,20.5997236796897,ACN,Accenture PLC,Ireland,Communication Services,791000.0,61.4,5,USD,2024-08-31,,,,,,,,,,
2017,57.0,2016,16.4466323202523,ACN,Accenture PLC,Ireland,Communication Services,791000.0,61.4,5,USD,2024-08-31,,,,,,,,,,
2019,93.0,2018,-7.26838704391229,ACN,Accenture PLC,Ireland,Communication Services,791000.0,61.4,5,USD,2024-08-31,,,,,,,,,,
2020,20.0,2019,53.5285363264815,ACN,Accenture PLC,Ireland,Communication Services,791000.0,61.4,5,USD,2024-08-31,,,,,,,,,,
2021,61.0,2020,24.0986231559252,ACN,Accenture PLC,Ireland,Communication Services,791000.0,61.4,5,USD,2024-08-31,,,,,,,,,,
2018,56.0,2017,0.814086098753575,ANA.MC,Acciona SA,Spain,Utilities,66021.0,51.0,5,EUR,2024-12-31,,,,,,,,,,
2019,68.0,2018,10.3555677464267,ANA.MC,Acciona SA,Spain,Utilities,66021.0,51.0,5,EUR,2024-12-31,,,,,,,,,,
2020,70.0,2019,32.6620469458581,ANA.MC,Acciona SA,Spain,Utilities,66021.0,51.0,5,EUR,2024-12-31,,,,,,,,,,
