Year,Ranking,Stock_Performance_Year,Stock_Performance,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Average Rank,Years Appeared,Original Currency,ReportDate_2024,TotalRevenueIncr,NetIncomeIncr,OperatingIncomeIncr,GrossProfitIncr,DilutedEPSIncr,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS
2016,0,2015,50.0837290222522,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,,,,,,,,,,
2017,0,2016,-2.20228611967444,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,,,,,,,,,,
2018,0,2017,17.0833325788383,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,,,,,,,,,,
2020,0,2019,46.6699494175644,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,,,,,,,,,,
2021,0,2020,-5.53951686745051,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,,,,,,,,,,
2022,0,2021,19.045791665609,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,,,,,,3654223798.0,148119135.7,215324199.3,799348571.4,0.631851289
2023,0,2022,-7.51637329912996,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,42.23457068624782,23.17327760372558,21.493537582145784,25.905867228525587,-8.972267681802583,5197569531.0,182443194.2,261604987.0,1006426751.0,0.5751599
2024,0,2023,26.0702885356825,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,-8.719881019327147,66.4406780047485,62.17494087756057,20.155673902590852,22.580645312720872,4744347652.0,303659689.4,424257733.0,1209278845.0,0.705034717
2025,0,2024,41.6990057387314,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000.0,75.0,1,SEK,2024-12-31,-2.120448423664548,20.02715547136433,18.95043732767978,10.77395156118852,65.93567249823813,4643746207.0,364474087.5,504656428.8,1339565962.0,1.169904099
2016,0,2015,-12.0204236105986,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,,,,,,,,,,
2017,0,2016,26.4797584689467,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,,,,,,,,,,
2022,0,2021,43.8062097146776,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,,,,,,28945000000.0,4546000000.0,3086000000.0,9467000000.0,2.25
2023,0,2022,-14.2643779426038,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,1.7308688892727586,-45.55653321601408,10.563836681788723,2.566811027780712,-42.22222222222222,29446000000.0,2475000000.0,3412000000.0,9710000000.0,1.3
2024,0,2023,35.2441141111303,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,9.471575086599199,51.31313131313131,27.6084407971864,15.48918640576725,54.6153846153846,32235000000.0,3745000000.0,4354000000.0,11214000000.0,2.01
2025,0,2024,34.4280817367109,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970.0,44.5,4,USD,2024-12-31,1.9078641228478361,5.07343124165554,17.064768029398255,9.45247012662743,5.97014925373135,32850000000.0,3935000000.0,5097000000.0,12274000000.0,2.13
