Id,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ESG Rank Year,ESG Rank,Average Rank,Years Appeared,Fin Metrics Year,Stock_Performance per,ReportDate,TotalRevenueIncr per,NetIncomeIncr per,OperatingIncomeIncr per,GrossProfitIncr per,DilutedEPSIncr per,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS,Net Margin per,Operating Margin per,Gross Margin per,ToralRevenue per employee,NetIncome per employee
1,AAK.ST,AAK AB,Sweden,Consumer Discretionary,4000,SEK,2019,75,75,1,2018,6.24,12/31/2024,,,,,,,,,,,,,,,
2,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970,USD,2018,39,44.5,4,2017,24.95,12/31/2024,,,,,,,,,,,,,,,
3,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970,USD,2019,45,44.5,4,2018,-25.99,12/31/2024,,,,,,,,,,,,,,,
4,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970,USD,2020,61,44.5,4,2019,31.23,12/31/2024,,,,,,,,,,,,,,,
5,ABBN.SW,ABB Ltd,Switzerland,Industrials,110970,USD,2021,33,44.5,4,2020,11.26,12/31/2024,,,,,,,,,,,,,,,
6,ACN,Accenture PLC,Ireland,Communication Services,791000,USD,2016,76,61.4,5,2015,20.6,8/31/2024,,,,,,,,,,,,,,,
7,ACN,Accenture PLC,Ireland,Communication Services,791000,USD,2017,57,61.4,5,2016,16.45,8/31/2024,,,,,,,,,,,,,,,
8,ACN,Accenture PLC,Ireland,Communication Services,791000,USD,2019,93,61.4,5,2018,-7.27,8/31/2024,,,,,,,,,,,,,,,
9,ACN,Accenture PLC,Ireland,Communication Services,791000,USD,2020,20,61.4,5,2019,53.53,8/31/2024,,,,,,,,,,,,,,,
10,ACN,Accenture PLC,Ireland,Communication Services,791000,USD,2021,61,61.4,5,2020,24.1,8/31/2024,,,,,,,,,,,,,,,
11,ANA.MC,Acciona SA,Spain,Utilities,66021,EUR,2018,56,51,5,2017,0.81,12/31/2024,,,,,,,,,,,,,,,
12,ANA.MC,Acciona SA,Spain,Utilities,66021,EUR,2019,68,51,5,2018,10.36,12/31/2024,,,,,,,,,,,,,,,
13,ANA.MC,Acciona SA,Spain,Utilities,66021,EUR,2020,70,51,5,2019,32.66,12/31/2024,,,,,,,,,,,,,,,
14,ANA.MC,Acciona SA,Spain,Utilities,66021,EUR,2021,31,51,5,2020,26.34,12/31/2024,,,,,,,,,,,,,,,
15,ANA.MC,Acciona SA,Spain,Utilities,66021,EUR,2025,30,51,5,2024,-19.9,12/31/2024,12.74,-22,-7.45,4.98,22.7,22070155784,485336411.7,1171937923,13951696707,11.374,2.2,5.31,63.22,3.34E+05,7351.24
16,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045,EUR,2016,5,59.57142857,7,2015,59.03,12/31/2024,,,,,,,,,,,,,,,
17,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045,EUR,2017,49,59.57142857,7,2016,72.83,12/31/2024,,,,,,,,,,,,,,,
18,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045,EUR,2019,84,59.57142857,7,2018,10.63,12/31/2024,,,,,,,,,,,,,,,
19,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045,EUR,2020,55,59.57142857,7,2019,60.47,12/31/2024,,,,,,,,,,,,,,,
20,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045,EUR,2021,76,59.57142857,7,2020,3.01,12/31/2024,,,,,,,,,,,,,,,
21,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045,EUR,2022,82,59.57142857,7,2021,-14.71,12/31/2024,,,,,,24420932148,2433582576,2287521618,12380678844,12.536,9.97,9.37,50.7,5.30E+05,52852.27
22,ADS.DE,Adidas AG,Germany,Consumer Discretionary,46045,EUR,2023,66,59.57142857,7,2022,-48.95,12/31/2024,6.01,-71.08,-63.35,-1.12,-69.36,25889592332,703852805.6,838412900.8,12241518404,3.841,2.72,3.24,47.28,5.62E+05,15286.19
23,ADBE,Adobe Systems Inc,USA,Health Care,30709,USD,2016,92,92,1,2015,31.06,11/30/2024,,,,,,,,,,,,,,,
24,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,TWD,2019,86,68,2,2018,-0.71,12/31/2024,,,,,,,,,,,,,,,
25,2395.TW,Advantech Co Ltd,Taiwan,Consumer Staples,,TWD,2020,50,68,2,2019,45.39,12/31/2024,,,,,,,,,,,,,,,
26,ADP.PA,Aeroports de Paris,France,Information Technology,29330,EUR,2016,31,31,1,2015,10.7,12/31/2024,,,,,,,,,,,,,,,
27,A,Agilent Technologies Inc,USA,Communication Services,18000,USD,2016,65,65,1,2015,3.21,10/31/2024,,,,,,,,,,,,,,,
28,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,USD,2021,73,79.5,2,2020,16.12,12/31/2024,,,,,,,,,,,,,,,
29,AEM.TO,Agnico Eagle Mines Ltd,Canada,Materials,,USD,2022,86,79.5,2,2021,-26.16,12/31/2024,,,,,,3869625000,561945000,1056728000,1358375000,2.1,14.52,27.31,35.1,,
30,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100,EUR,2018,83,55.5,2,2017,23.7,12/31/2024,,,,,,,,,,,,,,,
31,AKZA.AS,Akzo Nobel NV,Netherlands,Materials,34100,EUR,2021,28,55.5,2,2020,-0.01,12/31/2024,,,,,,,,,,,,,,,
32,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786,USD,2020,10,10,1,2019,39.78,12/31/2024,,,,,,,,,,,,,,,
33,ALV.DE,Allianz SE,Germany,Financials,156626,EUR,2018,71,71,3,2017,28.04,12/31/2024,,,,,,,,,,,,,,,
34,ALV.DE,Allianz SE,Germany,Financials,156626,EUR,2021,49,71,3,2020,-2.38,12/31/2024,,,,,,,,,,,,,,,
35,ALV.DE,Allianz SE,Germany,Financials,156626,EUR,2022,93,71,3,2021,7.16,12/31/2024,,,,,,1.37E+11,7602070335,9502587919,21000719301,18.206,5.55,6.94,15.33,8.75E+05,48536.45
36,GOOGL,Alphabet Inc,USA,Communication Services,185719,USD,2019,52,53.2,5,2018,-0.6,12/31/2024,,,,,,,,,,,,,,,
37,GOOGL,Alphabet Inc,USA,Communication Services,185719,USD,2020,62,53.2,5,2019,30.42,12/31/2024,,,,,,,,,,,,,,,
38,GOOGL,Alphabet Inc,USA,Communication Services,185719,USD,2021,90,53.2,5,2020,28.76,12/31/2024,,,,,,,,,,,,,,,
39,GOOGL,Alphabet Inc,USA,Communication Services,185719,USD,2022,36,53.2,5,2021,66.14,12/31/2024,,,,,,2.58E+11,76033000000,78714000000,1.47E+11,5.61,29.47,30.51,56.98,1.39E+06,409398.07
40,GOOGL,Alphabet Inc,USA,Communication Services,185719,USD,2023,26,53.2,5,2022,-39.17,12/31/2024,9.78,-21.12,-4.92,6.77,-18.72,2.83E+11,59972000000,74842000000,1.57E+11,4.56,21.19,26.45,55.48,1.52E+06,322917.96
41,ALO.PA,Alstom SA,France,Industrials,86039,EUR,2019,62,31,5,2018,1.51,3/31/2025,,,,,,,,,,,,,,,
42,ALO.PA,Alstom SA,France,Industrials,86039,EUR,2021,39,31,5,2020,19.73,3/31/2025,,,,,,,,,,,,,,,
43,ALO.PA,Alstom SA,France,Industrials,86039,EUR,2022,29,31,5,2021,-33.96,3/31/2025,,,,,,17792984895,-668200130.8,143760785.5,1983898839,1.081,-3.76,0.81,11.15,2.07E+05,-7766.25
44,ALO.PA,Alstom SA,France,Industrials,86039,EUR,2024,18,31,5,2023,-47.14,3/31/2025,6.74,134.09,71.03,12.56,-77.56,20263370232,-355376661.7,570442796.7,2545140946,-0.403,-1.75,2.82,12.56,2.36E+05,-4130.41
45,ALO.PA,Alstom SA,France,Industrials,86039,EUR,2025,7,31,5,2024,76.14,3/31/2025,4.94,-148.22,33.27,4.11,131.43,21263945299,171362856.3,760207033.5,2649798798,-0.932,0.81,3.58,12.46,2.47E+05,1991.69
46,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643,EUR,2017,87,51.5,2,2016,9.34,12/31/2024,,,,,,,,,,,,,,,
47,AMS.MC,Amadeus IT Group SA,Spain,Information Technology,20643,EUR,2018,16,51.5,2,2017,42.32,12/31/2024,,,,,,,,,,,,,,,
48,AWK,American Water Works Company Inc,USA,Utilities,6700,USD,2020,16,10.33333333,3,2019,38.51,12/31/2024,,,,,,,,,,,,,,,
49,AWK,American Water Works Company Inc,USA,Utilities,6700,USD,2021,9,10.33333333,3,2020,24.38,12/31/2024,,,,,,,,,,,,,,,
50,AWK,American Water Works Company Inc,USA,Utilities,6700,USD,2022,6,10.33333333,3,2021,24.23,12/31/2024,,,,,,3930000000,1263000000,1196000000,2153000000,6.95,32.14,30.43,54.78,5.87E+05,188507.46
51,AMUN.PA,Amundi SA,France,Communication Services,5700,EUR,2018,6,45.66666667,3,2017,50.74,12/31/2024,,,,,,,,,,,,,,,
52,AMUN.PA,Amundi SA,France,Communication Services,5700,EUR,2019,31,45.66666667,3,2018,-32.14,12/31/2024,,,,,,,,,,,,,,,
53,AMUN.PA,Amundi SA,France,Communication Services,5700,EUR,2020,100,45.66666667,3,2019,59.48,12/31/2024,,,,,,,,,,,,,,,
54,ADI,Analog Devices Inc,USA,Information Technology,24000,USD,2017,78,60.16666667,6,2016,37.65,10/31/2024,,,,,,,,,,,,,,,
55,ADI,Analog Devices Inc,USA,Information Technology,24000,USD,2018,42,60.16666667,6,2017,25.34,10/31/2024,,,,,,,,,,,,,,,
56,ADI,Analog Devices Inc,USA,Information Technology,24000,USD,2019,17,60.16666667,6,2018,-2.29,10/31/2024,,,,,,,,,,,,,,,
57,ADI,Analog Devices Inc,USA,Information Technology,24000,USD,2020,82,60.16666667,6,2019,44.36,10/31/2024,,,,,,,,,,,,,,,
58,ADI,Analog Devices Inc,USA,Information Technology,24000,USD,2021,74,60.16666667,6,2020,24.21,10/31/2024,,,,,,,,,,,,,,,
59,ADI,Analog Devices Inc,USA,Information Technology,24000,USD,2022,68,60.16666667,6,2021,19.7,10/31/2024,,,,,,7318286000,1390422000,1776657000,4525012000,3.46,19,24.28,61.83,3.05E+05,57934.25
60,AAL.L,Anglo American PLC,United Kingdom,Materials,,USD,2025,90,90,1,2024,17.74,12/31/2024,-10.97,-1184.1,-24.48,-23.21,-93.75,27290000000,-3068000000,4948000000,15044000000,0.23,-11.24,18.13,55.13,,
61,ANSS,ANSYS; Inc.,USA,Health Care,6600,USD,2019,87,87,1,2018,-3.48,12/31/2024,,,,,,,,,,,,,,,
62,AAPL,Apple Inc,USA,Information Technology,164000,USD,2016,84,71.5,6,2015,-2.01,9/30/2024,,,,,,,,,,,,,,,
63,AAPL,Apple Inc,USA,Information Technology,164000,USD,2017,84,71.5,6,2016,15.39,9/30/2024,,,,,,,,,,,,,,,
64,AAPL,Apple Inc,USA,Information Technology,164000,USD,2022,48,71.5,6,2021,34.29,9/30/2024,,,,,,3.66E+11,94680000000,1.09E+11,1.53E+11,5.61,25.87,29.78,41.8,2.23E+06,577317.07
65,AAPL,Apple Inc,USA,Information Technology,164000,USD,2023,73,71.5,6,2022,-26.51,9/30/2024,7.79,5.41,9.63,11.74,8.91,3.94E+11,99803000000,1.19E+11,1.71E+11,6.11,25.33,30.2,43.4,2.40E+06,608554.88
66,AAPL,Apple Inc,USA,Information Technology,164000,USD,2024,71,71.5,6,2023,48.61,9/30/2024,-2.8,-2.81,-4.3,-0.96,0.33,3.83E+11,96995000000,1.14E+11,1.69E+11,6.13,25.33,29.77,44.13,2.34E+06,591432.93
