,Company Name,Country,GICS Sector,Average Rank,Years Appeared,Adjusted Score,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,AAK AB,Sweden,Consumer Discretionary,75,1,0.013333333,,,,75,,,,,,
2,ABB Ltd,Switzerland,Industrials,44.5,4,0.08988764,,,39,45,61,33,,,,
3,Accenture PLC,Ireland,Communication Services,61.4,5,0.081433225,76,57,,93,20,61,,,,
4,Acciona SA,Spain,Utilities,51,5,0.098039216,,,56,68,70,31,,,,30
5,Adidas AG,Germany,Consumer Discretionary,59.57142857,7,0.117505995,5,49,,84,55,76,82,66,,
6,Adobe Systems Inc,USA,Health Care,92,1,0.010869565,92,,,,,,,,,
7,Advantech Co Ltd,Taiwan,Consumer Staples,68,2,0.029411765,,,,86,50,,,,,
8,Aeroports de Paris,France,Information Technology,31,1,0.032258065,31,,,,,,,,,
9,Agilent Technologies Inc,USA,Communication Services,65,1,0.015384615,65,,,,,,,,,
10,Agnico Eagle Mines Ltd,Canada,Materials,79.5,2,0.025157233,,,,,,73,86,,,
11,Akzo Nobel NV,Netherlands,Materials,55.5,2,0.036036036,,,83,,,28,,,,
12,Algonquin Power & Utilities Corp,Canada,Utilities,10,1,0.1,,,,,10,,,,,
13,Allianz SE,Germany,Financials,71,3,0.042253521,,,71,,,49,93,,,
14,Alphabet Inc,USA,Communication Services,53.2,5,0.093984962,,,,52,62,90,36,26,,
15,Alstom SA,France,Industrials,31,5,0.161290323,,,,62,,39,29,,18,7
16,Amadeus IT Group SA,Spain,Information Technology,51.5,2,0.038834951,,87,16,,,,,,,
17,American Water Works Company Inc,USA,Utilities,10.33333333,3,0.290322581,,,,,16,9,6,,,
18,Amundi SA,France,Communication Services,45.66666667,3,0.065693431,,,6,31,100,,,,,
19,Analog Devices Inc,USA,Information Technology,60.16666667,6,0.099722992,,78,42,17,82,74,68,,,
20,Anglo American PLC,United Kingdom,Materials,90,1,0.011111111,,,,,,,,,,90
21,ANSYS; Inc.,USA,Health Care,87,1,0.011494253,,,,87,,,,,,
22,Apple Inc,USA,Information Technology,71.5,6,0.083916084,84,84,,,,,48,73,71,69
23,Applied Materials Inc,USA,Information Technology,64.33333333,3,0.046632124,56,94,43,,,,,,,
24,Arcelik AS,Turkey,Consumer Discretionary,61.6,5,0.081168831,,,,,,34,57,89,60,68
25,ASM International NV,Netherlands,Information Technology,33,1,0.03030303,,,,,,,,33,,
26,ASML Holding NV,Netherlands,Information Technology,72,2,0.027777778,49,95,,,,,,,,
27,Assicurazioni Generali SpA,Italy,Financials,72,3,0.041666667,,56,,,69,,,,91,
28,Astellas Pharma Inc,Japan,Health Care,90,2,0.022222222,95,85,,,,,,,,
29,AstraZeneca PLC,United Kingdom,Health Care,72.14285714,7,0.097029703,,,34,50,56,82,91,97,95,
30,Atea ASA,Norway,Information Technology,50.25,4,0.07960199,,,,,,,51,49,41,60
31,Atlas Copco AB,Sweden,Energy,34,1,0.029411765,34,,,,,,,,,
32,Australia & New Zealand Banking Group Ltd,Australia,Financials,67,1,0.014925373,67,,,,,,,,,
33,Autodesk Inc,USA,Information Technology,32.11111111,9,0.280276817,,100,8,48,5,43,3,5,11,66
34,Aviva PLC,United Kingdom,Financials,79,1,0.012658228,79,,,,,,,,,
35,AXA SA,France,Financials,85,1,0.011764706,,,85,,,,,,,
36,Banco do Brasil SA,Brazil,Financials,22.55555556,9,0.399014778,75,,49,8,9,3,21,15,6,17
37,Banco Santander Brasil SA,Brazil,Financials,68,2,0.029411765,,60,76,,,,,,,
