Year-Month-Date,Ticker,Original Currency,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetIncome,DilutedEPS,InterestExpense,NormalizedEBITDA,EBITDA,EBIT,NormalizedIncome,TotalExpenses,DilutedAverageShares,BasicAverageShares,BasicEPS,fullTimeEmployees,sector,industry,marketCap,enterpriseValue,beta,dividendYield,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,totalDebt,debtToEquity,operatingMargins,profitMargins,country,ResearchAndDevelopment
2024-12-31,AAK.ST,SEK,4643746207.296848,3304180245.5186844,1339565961.778164,834909532.9642296,504656428.8139343,364474087.47673035,,24222683.98106098,593404219.9105024,593404219.9105024,504553353.5629511,364474087.47673035,4139089778.482914,,,,4000,Consumer Defensive,Packaged Foods,6816947487.435791,7039550026.46698,0.398,1.97,18.79056,17.905834,1.447898,3.3940299,379523060.926651,18.834,0.10738,0.077410005,Sweden,
2023-12-31,AAK.ST,SEK,4744347652.256489,3535068807.721138,1209278844.5353508,785021111.4883423,424257733.0470085,303659689.3966198,1.1699040986597538,28861070.2753067,513417825.1475096,513417825.1475096,423020830.03520966,303659689.3966198,4320089919.20948,259628408.0,259559202.0,1.1699040986597538,4000,Consumer Defensive,Packaged Foods,6816947487.435791,7039550026.46698,0.398,1.97,18.79056,17.905834,1.447898,3.3940299,379523060.926651,18.834,0.10738,0.077410005,Sweden,
2022-12-31,AAK.ST,SEK,5197569530.829787,4191142780.2294493,1006426750.600338,744821763.6048794,261604986.9954586,182443194.24033165,0.7050347167253495,20924275.94959736,347466671.06449604,347466671.06449604,263151115.76020718,182443194.24033165,4935964543.834329,258877332.0,258877332.0,0.7050347167253495,4000,Consumer Defensive,Packaged Foods,6816947487.435791,7039550026.46698,0.398,1.97,18.79056,17.905834,1.447898,3.3940299,379523060.926651,18.834,0.10738,0.077410005,Sweden,
2021-12-31,AAK.ST,SEK,3654223797.8577614,2854875226.482749,799348571.3750124,584024372.0710278,215324199.30398464,148119135.66291332,0.5751599004864693,9998299.345374107,313554913.49101067,313554913.49101067,214808823.04906845,148119135.66291332,3438899598.5537767,257680918.0,256999373.0,0.5761906529963017,4000,Consumer Defensive,Packaged Foods,6816947487.435791,7039550026.46698,0.398,1.97,18.79056,17.905834,1.447898,3.3940299,379523060.926651,18.834,0.10738,0.077410005,Sweden,
2020-12-31,AAK.ST,SEK,,,,,,,0.6318512885272503,,,,,,,254909055.0,253941309.0,0.6349435460567474,4000,Consumer Defensive,Packaged Foods,6816947487.435791,7039550026.46698,0.398,1.97,18.79056,17.905834,1.447898,3.3940299,379523060.926651,18.834,0.10738,0.077410005,Sweden,
2024-12-31,ABBN.SW,USD,32850000000.0,20576000000.0,12274000000.0,7177000000.0,5097000000.0,3935000000.0,2.13,99000000.0,6195000000.0,6134000000.0,5332000000.0,3984116000.0,27753000000.0,1851000000.0,1844000000.0,2.13,110970,Industrials,Electrical Equipment & Parts,84269080576.0,89278570496.0,0.79,1.92,25.065216,29.375795,2.560203,6.253559,8928000000.0,63.27,0.19924,0.12554,Switzerland,1469000000.0
2023-12-31,ABBN.SW,USD,32235000000.0,21021000000.0,11214000000.0,6860000000.0,4354000000.0,3745000000.0,2.01,275000000.0,5682000000.0,5833000000.0,5053000000.0,3647445000.0,27881000000.0,1867000000.0,1855000000.0,2.02,110970,Industrials,Electrical Equipment & Parts,84269080576.0,89278570496.0,0.79,1.92,25.065216,29.375795,2.560203,6.253559,8928000000.0,63.27,0.19924,0.12554,Switzerland,1317000000.0
2022-12-31,ABBN.SW,USD,29446000000.0,19736000000.0,9710000000.0,6298000000.0,3412000000.0,2475000000.0,1.3,130000000.0,4761000000.0,4338000000.0,3524000000.0,2846671000.0,26034000000.0,1910000000.0,1899000000.0,1.3,110970,Industrials,Electrical Equipment & Parts,84269080576.0,89278570496.0,0.79,1.92,25.065216,29.375795,2.560203,6.253559,8928000000.0,63.27,0.19924,0.12554,Switzerland,1166000000.0
2021-12-31,ABBN.SW,USD,28945000000.0,19478000000.0,9467000000.0,6381000000.0,3086000000.0,4546000000.0,2.25,148000000.0,4570000000.0,6828000000.0,5935000000.0,2781214000.0,25859000000.0,2019000000.0,2001000000.0,2.27,110970,Industrials,Electrical Equipment & Parts,84269080576.0,89278570496.0,0.79,1.92,25.065216,29.375795,2.560203,6.253559,8928000000.0,63.27,0.19924,0.12554,Switzerland,1219000000.0
2020-12-31,ABBN.SW,USD,,,,,,,,,,,,,,,,,110970,Industrials,Electrical Equipment & Parts,84269080576.0,89278570496.0,0.79,1.92,25.065216,29.375795,2.560203,6.253559,8928000000.0,63.27,0.19924,0.12554,Switzerland,
